episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,source,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,composite_score,人生の節目タグ,episode_importance_score,is_highlight,highlight_rank,priority_score,impressiveness_score,年代,affiliation,generated_at,verification_status,evidence_quality,総合品質,感情インパクト,composite_score_5axis,memorability_score,empathy_score,surprise_score,generation_quality_score,educational_value,storytelling_quality,factual_density,llm_evaluated_at,wikipedia_pv,fame_score_v3,fame_rank_v3,multi_lang_pv,sitelinks_count,google_hits,is_japanese,fame_score_japan,celebrity_score_v2,celebrity_rank_v2,episode_fame_v5_keyphrase,episode_fame_v6,episode_fame_tier_v6,episode_fame_v6_updated_at,super_total_score,iconic_score,model,generator_type,cost_usd
EP-000002907,P002CAB1,今田耕司,5.0,53.0,エンターテイメント,281.0,あなたと同じ53歳のとき、今田耕司は芸能生活35周年を迎え、長年のキャリアを振り返る節目の年となった。この年、彼は『ダウンタウンDX』や『今田耕司のネタバレMTG』など複数のレギュラー番組で活躍を続けながら、若手芸人の育成にも力を注いでいた。NSC(吉本総合芸能学院)の大先輩として、後輩たちに「笑いの本質」を伝える姿勢は業界内でも高く評価されている。また、独身を貫きながらも人生を謳歌する姿は、多様な生き方の選択肢を示すものとして注目を集めた。長年培ってきた観察眼とトーク力で、芸能界の重鎮としての地位を確立した時期と言えるだろう。,達成,確認済み,130R,True,REAL,8.5,不明,未登録,2025-11-29 21:46:19,5.0,False,False,0.0,False,7.76,一般,7.9,1.0,1.0,49.2,28.0,50代,未登録,2025-12-15 12:52:10,unverified,low,7.5,5.0,6.84,4.8,4.9,2.9,8.5,4.5,5.3,10.0,2025-12-20T09:30:21.917259,21809.0,454.89,3672.0,58929.0,4.0,,True,502.99,582.705152049337,1592.0,今田耕司 ダウンタウンDX,66.2,3.0,2026-01-10T00:23:47.561895,559354.0,5.2,,,
EP-000002957,P0034440,細川たかし,1.0,65.0,音楽,259.0,あなたと同じ65歳のとき、細川たかしは歌手生活40周年を迎え、記念コンサートツアーを全国で開催した。デビュー曲「心のこり」から「北酒場」「矢切の渡し」など数々のヒット曲を歌い続けてきた彼は、この節目の年に改めて歌への情熱を語った。特筆すべきは、40年間変わらぬ歌唱力を維持するため、毎日の発声練習を欠かさず、食事や健康管理にも細心の注意を払ってきたことだ。「歌は一生の修行」という信念のもと、ベテランとなっても初心を忘れず、ファンに感動を届け続ける姿勢は、多くの後輩歌手たちの手本となっている。,キャリア,確認済み,未登録,True,REAL,8.5,不明,未登録,2025-11-29 23:53:59,5.0,False,False,0.0,False,7.9,一般,7.9,1.0,1.0,49.2,28.0,60代,未登録,2025-12-15 12:52:10,unverified,low,7.25,5.5,6.87,5.5,6.1,2.9,8.5,6.6,5.3,8.5,2025-12-20T09:32:14.571960,16680.0,441.33,4088.0,33034.0,7.0,,True,483.33,544.957380087088,2856.0,細川たかし 心のこり 2015年,58.36,3.0,2026-01-10T00:23:47.562021,494005.0,5.8,,,
EP-000004005,P0035135,グレゴール・メンデル,3.0,40.0,学術・研究,226.0,あなたと同じ40歳のとき、グレゴール・メンデルは修道院の小さな庭で8年間にわたってエンドウ豆の栽培を続けていた。周囲からは「豆ばかり育てて何になる」と笑われながらも、彼は2万8千株ものエンドウ豆を丁寧に観察し、親から子へと受け継がれる特徴を一つ一つ記録した。その膨大なデータから導き出した遺伝の法則は当初、学会で全く理解されなかっただ。しかし彼は諦めることなく、「いつか必ず認められる日が来る」と信じて研究を続け、後に「遺伝学の父」と呼ばれる偉大な発見を成し遂げた。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.99,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,未登録,2025-12-15 12:52:10,unverified,low,7.25,5.95,7.16,6.6,4.9,3.4,8.5,6.6,5.8,6.4,2025-12-20T11:03:06.471956,2451.0,616.83,878.0,211046.0,131.0,5990.0,False,576.47,582.482666205776,1596.0,グレゴール・メンデル 豆ばかり育てて何になる,72.19,4.0,2026-01-10T00:23:47.562138,605194.0,5.5,,,
EP-000008679,P0035135,グレゴール・メンデル,3.0,42.0,科学・技術,172.0,あなたと同じ42歳のとき、グレゴール・メンデルは1864年、8年間続けた豆の交配実験の論文を学会で発表したが、聴衆の反応は冷ややかで質問すら出なかっただ。しかし彼は失望する代わりに、この無関心こそが自分の発見の革新性を証明していると確信し、論文を40部印刷して世界中の著名な植物学者に送付。この地道な努力が後に「メンデルの法則」として遺伝学の礎を築いた。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.54,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,未登録,2025-12-15 12:52:10,unverified,low,7.25,5.7,6.81,6.6,4.9,3.9,8.5,6.6,5.8,10.0,2025-12-20T19:19:43.199987,2451.0,616.83,878.0,211046.0,131.0,5990.0,False,576.47,582.482666205776,1596.0,グレゴール・メンデル メンデルの法則,71.64,4.0,2026-01-10T00:23:47.562243,597567.0,5.8,,,
EP-000003715,P0035135,グレゴール・メンデル,3.0,44.0,科学・技術,189.0,"あなたと同じ44歳のとき、グレゴール・メンデルは修道院の小さな庭で8年間もエンドウ豆と向き合い続けていた。28,000株もの豆を一つずつ丹念に観察し、膨大なデータを記録した彼の研究は、当時の学者たちから完全に無視された。それでも諦めることなく、遺伝の法則を数学的に証明し続けた。その孤独な努力が、後に「メンデルの法則」として現代遺伝学の礎となることを信じて、黙々と研究を続けた。",転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.91,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,未登録,2025-12-15 12:52:10,unverified,low,7.25,5.25,7.08,6.6,4.9,3.9,8.5,6.6,5.8,10.0,2025-12-20T10:04:28.922088,2451.0,616.83,878.0,211046.0,131.0,5990.0,False,577.69,582.482666205776,1596.0,グレゴール・メンデル メンデルの法則,70.57,4.0,2026-01-10T00:23:47.562339,592281.0,5.2,,,
EP-260107033834501,P0038D7F,滝田洋二郎,2.0,20.0,アニメ・漫画・ゲーム,342.0,あなたと同じ20歳のとき、滝田洋二郎は日本映画学校に在籍し、映画制作の基礎を学んでいた。同校では8ミリフィルムを使用した短編作品制作に取り組み、年間12本の習作を完成させた。東京都渋谷区にあった同校で、後に共同制作者となる仲間たちと出会い、1970年には学内コンペティション「新人監督賞」で3位入賞を果たした。この時期に制作した作品「青春の記録」は上映時間15分の白黒フィルムで、製作費は当時の金額で8万円を要した。また同年、黒澤明監督の「どですかでん」を新宿の映画館で鑑賞し、色彩表現に強い影響を受けた。滝田は週に5本のペースで様々なジャンルの映画を観賞し、ノートに詳細な分析を記録していた。この集中的な学習期間が、後の「おくりびと」制作における演出技法の土台となった。,ACHIEVEMENT,,,,REAL,,,,2026-01-07 03:38:07,4.0,,,,,7.65,,,,,,,,,,,,,,,7.0,6.0,6.0,8.0,8.0,7.0,9.0,,,425.48,4513.0,10467.0,22.0,,True,414.92,514.894501914709,3629.0,,63.45,3.0,2026-01-10T00:23:47.562448,425049.0,5.5,,,
EP-000009031,P0038D7F,滝田洋二郎,2.0,45.0,アニメ・漫画・ゲーム,180.0,あなたと同じ45歳のとき、滝田洋二郎はピンク映画監督としての20年のキャリアを捨て、まったく未知の納棺師の世界を描く決断をした。周囲からは「興行的に絶対に失敗する」と猛反対されたが、実際に納棺師に弟子入りし、遺体に触れる恐怖と向き合いながら3年間の準備期間を費やした。その結果生まれた『おくりびと』が日本映画初のアカデミー賞外国語映画賞を受賞した。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.86,受賞,9.0,1.0,1.0,49.2,28.0,1950年代以前,未登録,2025-12-15 12:52:10,unverified,low,7.0,5.0,6.7,6.9,4.9,6.0,8.5,7.1,5.8,6.4,2025-12-20T19:35:02.643055,3016.0,425.48,4513.0,10467.0,22.0,,True,414.92,514.894501914709,3629.0,滝田洋二郎 興行的に絶対に失敗する アカデミー賞,86.18,5.0,2026-01-10T00:23:47.562548,738639.0,5.8,,,
EP-260107012219570,P003C5F1,米倉弘昌,2.0,20.0,ビジネス,355.0,"あなたと同じ20歳のとき、米倉弘昌は住友化学工業株式会社に入社した。東京大学法学部を卒業後、同社の企画部門に配属され、石油化学事業の収益性分析を担当した。1975年には愛媛工場での研修を経て、年間売上高1,200億円規模のプラスチック事業部に異動となった。この時期、「第一次石油危機対応プロジェクト」のメンバーとして選抜され、原料コスト削減策の立案に従事した。大阪本社での2年間の勤務中、「新素材開発戦略会議」において月間15件の企画提案を行い、上司である田中部長から高い評価を受けた。1978年までに彼が手がけた3つの事業改善案は、合計で年間約80億円のコスト削減効果をもたらした。この実績により、米倉は入社7年目という異例の早さで係長に昇進し、住友グループ内でも注目される若手幹部候補となった。",ACHIEVEMENT,,,,REAL,,,,2026-01-07 01:10:44,4.0,,,,,7.65,,,,,,,,,,,,,,,7.0,6.0,6.0,8.0,8.0,7.0,9.0,,,344.48,5724.0,3957.0,8.0,,True,341.38,480.879018069962,4447.0,,61.0,3.0,2026-01-10T00:23:47.562684,392963.0,5.5,,,
EP-000004550,P003C5F1,米倉弘昌,2.0,64.0,ビジネス,231.0,あなたと同じ64歳のとき、米倉弘昌は、東日本大震災直後の混乱の中で日本経済界のリーダーシップを発揮していた。震災から3ヶ月後、彼は被災地の石巻を訪問し、瓦礫の山を前に涙を流しながら「必ず日本は復活する」と誓った。その後、経団連として総額1000億円を超える復興支援を実施し、自らも住友化学の技術を活かした被災地の農業復興プロジェクトを立ち上げた。「企業の使命は利益だけではない。社会への責任を果たすことだ」という信念のもと、日本再生への道筋を示した。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.93,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,経団連,2025-12-15 12:52:10,unverified,low,7.5,5.25,7.27,6.6,6.7,3.4,7.9,5.5,5.8,10.0,2025-12-20T11:27:26.085070,907.0,344.48,5724.0,3957.0,8.0,,True,341.38,480.879018069962,4447.0,米倉弘昌 必ず日本は復活する,57.65,3.0,2026-01-10T00:23:47.562805,461780.0,5.2,,,
E7510E7C0,P00573E3,宇野昌磨,4.0,14.0,スポーツ,300.0,あなたと同じ14歳のとき、宇野昌磨は全日本ジュニア選手権で初優勝を果たした。この大会で彼は4回転トゥループを成功させ、技術的な高さを証明した。当時から「天才少年」と注目されていた宇野でしたが、実は人前で話すことが苦手で、インタビューでは緊張のあまり小さな声でしか答えられなかった。しかし氷の上では別人のように大胆な演技を見せ、難しいジャンプにも果敢に挑戦し続けた。練習では何度も転倒を繰り返しながらも、諦めずに技術を磨き続ける姿勢が、後の世界的スケーターへの道を開いたのだ。内気な少年が、スケートを通じて自分の可能性を信じ、挑戦し続けた14歳の姿は、多くの若者に勇気を与えている。,達成,確認済み,未登録,True,REAL,8.5,LLM_GENERATED,未登録,2025-12-14 14:57:49,4.0,False,False,AWARD,False,8.11,若き挑戦,7.9,1.0,1.0,49.2,28.0,10代,未登録,2025-12-15 12:52:10,unverified,low,7.5,5.55,7.23,6.6,4.9,6.5,8.5,4.5,5.3,5.4,2025-12-20T07:39:48.292132,36844.0,508.39,2210.0,97453.0,29.0,,True,660.64,621.152692660777,698.0,宇野昌磨 天才少年,71.04,4.0,2026-01-10T00:23:47.562926,646260.0,5.5,,,
EABB86A2E,P00573E3,宇野昌磨,4.0,15.0,スポーツ,306.0,あなたと同じ15歳のとき、宇野昌磨は全日本ジュニア選手権で優勝を果たした。この年、彼は4回転トゥループを成功させ、技術面で大きな飛躍を遂げていた。しかし、シニアのトップ選手たちとの差を痛感する日々でもあった。練習では何度も転倒を繰り返し、悔しさで涙することもありましたが、「もっと上手くなりたい」という純粋な思いが彼を支えていた。当時から完璧主義者として知られ、納得いくまで同じジャンプを跳び続ける姿勢は、コーチや仲間たちに強い印象を与えた。この時期の努力が、後の世界的なスケーターへの礎となったのだ。若き日の宇野昌磨は、才能だけでなく、諦めない心でトップへの階段を一歩ずつ登っていた。,達成,確認済み,未登録,True,REAL,8.5,LLM_GENERATED,未登録,2025-12-14 18:38:57,4.0,False,False,AWARD,False,8.06,若き挑戦,7.9,1.0,1.0,49.2,28.0,10代,未登録,2025-12-15 12:52:10,unverified,low,7.5,6.25,7.23,5.2,6.1,2.9,8.5,5.0,5.8,5.4,2025-12-20T07:58:46.425428,36844.0,508.39,2210.0,97453.0,29.0,,True,660.64,621.152692660777,698.0,宇野昌磨 もっと上手くなりたい,71.01,4.0,2026-01-10T00:23:47.563046,645798.0,5.5,,,
EP-000007661,P00573E3,宇野昌磨,4.0,20.0,スポーツ,188.0,あなたと同じ20歳のとき、宇野昌磨は平昌五輪のフリー演技で、練習では一度も失敗したことのない4回転ループで転倒し、金メダルの夢が崩れかけた。しかしその瞬間、彼は涙を見せず冷静さを取り戻し、残り3分間で完璧な演技を披露。最終的に銀メダルを獲得し、「失敗した時こそ、次の瞬間に集中することの大切さを学んだ」と語り、この経験が後の世界選手権2度制覇への精神的支柱となった。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,8.04,優勝,7.9,1.0,1.0,49.2,28.0,1970年代,未登録,2025-12-15 12:52:10,unverified,low,7.0,5.5,7.26,6.6,6.7,3.9,7.9,5.5,5.8,5.4,2025-12-20T18:35:36.939871,36844.0,508.39,2210.0,97453.0,29.0,,True,660.64,621.152692660777,698.0,宇野昌磨 失敗した時こそ、次の瞬間に集中することの 世界選手権,71.36,4.0,2026-01-10T00:23:47.563140,617335.0,5.8,,,
EP-000001033,P00573E3,宇野昌磨,4.0,26.0,科学・技術,266.0,あなたと同じ26歳のとき、宇野昌磨は突然「スケートを辞めたい」と周囲に漏らし始めた。2023年、度重なる怪我と精神的な疲労から、練習への意欲を完全に失っていたのだ。しかし、偶然テレビで見た若手選手の演技に「自分にはもうあの純粋さがない」と涙したことが転機となった。翌日、彼は長年の拠点だった名古屋を離れ、全く新しい環境での再出発を決断。コーチ陣や関係者の猛反対を押し切り、まるで新人のように基礎から滑り直すという前代未聞の選択をしたのだ。この「リセット」により、彼は失いかけていた競技への情熱を取り戻すことになった。,転機,確認済み,未登録,True,REAL,8.5,LLM_GENERATED→SURPRISE_IMPROVED,未登録,1900-01-01 00:00:00,4.0,True,False,0.0,False,8.1,"記録,挑戦",7.4,1.0,1.0,49.2,28.0,20代,未登録,2025-12-15 12:52:10,unverified,low,7.5,6.1,7.1,6.6,6.7,4.9,8.5,6.1,6.7,6.4,2025-12-20T08:12:49.240199,36844.0,508.39,2210.0,97453.0,29.0,,True,660.64,621.152692660777,698.0,宇野昌磨 スケートを辞めたい 2023年,69.99,3.0,2026-01-10T00:23:47.563262,584195.0,5.8,,,
