episode_id,person_name,age,year_in_text,expected_year,year_diff,context
EP-000001354,真田広之,53,2024,2013,11,あなたと同じ53歳のとき、真田広之は2024年にエミー賞主演男優賞(ドラマ部門)を「SHOGUN 将軍」で受賞しました。テレビドラマの最高峰とされ
EP-000002970,菅義偉,61,2020,2009,11,日々を送っていました。この時期の地道な活動が、後に官房長官として「現場主義」を貫く姿勢の基盤となり、2020年の総理大臣就任へとつながっていきます。派閥に属さず
EP-000000082,柳井正,31,1990,1980,10,たと同じ31歳のとき、柳井正は父親の小さな洋服店で、たった一枚のフリースの失敗から運命を変えました。1990年、彼が仕入れた安価なフリースは全く売れず、店の倉庫
EP-000000663,稲盛和夫,68,2010,2000,10,と同じ68歳のとき、稲盛和夫は京セラを退職後、「もう経営には関わらない」と宣言していました。ところが2010年1月、政府からJAL再建の要請を受けた際、周囲の猛
EP-000003199,ヒカル,23,2016,2006,10,あなたと同じ23歳のとき、ヒカルはYouTuberとして大きな転機を迎えていました。2016年、情報商材ビジネスから完全に撤退し、YouTubeでの活動に専念す
EP-251218185058641,アイザック・ニュートン,43,1696,1686,10,なたと同じ43歳のとき、アイザック・ニュートンは造幣局長官として国家の通貨改革に取り組んでいました。1696年、科学者としての名声を確立していたニュートンは、イ
EP-000002981,枝野幸男,57,2011,2021,10,第一党として政権交代を目指しましたが、議席を減らす厳しい結果となり、選挙後に代表辞任を表明しました。2011年の東日本大震災では官房長官として連日記者会見に立ち
EP-000005713,ゼンメルワイス,40,1848,1858,10,あなたと同じ40歳のとき、ゼンメルワイスは1848年、産褥熱死亡率18%という現実に絶望し、一度は産科医を辞める決意を固めた。しかし友人の解剖事故死をき
EP-000007126,小栗旬,32,2005,2014,9,あなたと同じ32歳のとき、小栗旬は2005年の花より男子出演後、安定した二枚目路線を歩んでいたが、敢えて全く異なるジャンルへの挑戦を決意した。周
EP-000001637,宮崎駿,54,2003,1995,8,ました。この作品は環境破壊と人間の業を描き、後の『千と千尋の神隠し』でのアカデミー長編アニメ賞受賞(2003年)への道を切り開く転換点となりました。妥協を許さな
EP-000001585,緒方洪庵,61,1863,1871,8,じ61歳のとき、緒方洪庵は江戸幕府の奥医師として多忙な日々を送る中、過労により体調を崩していました。1863年6月、かつて大坂で主宰した適塾での教育活動を懐かし
EP-000002274,リチャード・ファインマン,60,1986,1978,8,あなたと同じ60歳のとき、リチャード・ファインマンは、1986年のチャレンジャー号爆発事故調査委員会で、NASAの官僚主義と対峙していました。管理層が「安全率9
EP-000002847,ジェンスン・ファン,69,2024,2032,8,じ69歳のとき、ジェンスン・ファンは、NVIDIAのCEOとして生成AI革命の中心に立っていました。2024年、同社の時価総額は3兆ドルを突破し、AppleやM
EP-000006255,紫式部,30,1000,1008,8,からなる『源氏物語』は、藤原道長の娘・彰子への献上により宮廷で絶賛され、後に世界最古の長編小説として1000年後の現代まで読み継がれる不朽の名作となった。
EP-000002978,吉村洋文,28,1995,2003,8,あなたと同じ28歳のとき、吉村洋文は弁護士として企業法務に携わっていました。1995年に大阪大学法学部を卒業後、司法試験に合格し、大阪市内の法律事務所で実務経験
EP-000002073,室伏広治,30,2011,2004,7,の金メダルを取りたい」と語り、その後もトレーニングを重ねました。翌2006年には自己ベストを更新し、2011年の世界選手権では37歳で堂々の金メダルを獲得。30
EP-000002273,リチャード・ファインマン,40,1965,1958,7,をやろう」と決意し、純粋な好奇心で計算を開始。この一見些細な回転の問題が量子電磁力学の研究へ発展し、1965年のノーベル物理学賞受賞につながりました。
EP-000002290,エルトン・ジョン,60,2014,2007,7,じ60歳のとき、エルトン・ジョンは長年のパートナー、デヴィッド・ファーニッシュと正式に結婚していた。2014年3月29日、イギリスで同性婚が法制化された初日に、
E18E350FC,張本智和,19,2016,2022,6,あなたと同じ19歳のとき、張本智和は世界ジュニア選手権で頂点に立ちました。2016年、南アフリカで開催された大会で、彼は男子シングルスで優勝を果たします。この快
EP-000002946,安室奈美恵,47,2018,2024,6,あなたと同じ47歳のとき、安室奈美恵は芸能界を引退していました。2018年9月16日、彼女は25年間のキャリアに幕を閉じ、40歳で引退を発表してから1年をかけて
EP-000001438,渡辺謙,36,1989,1995,6,血病との闘病から復帰し、映画『明日があるさ THE MOVIE』で本格的にカムバックを果たしました。1989年に急性骨髄性白血病と診断され、NHK大河ドラマ『独
EP-000003069,庵野秀明,56,2022,2016,6,あなたと同じ56歳のとき、庵野秀明は『シン・ウルトラマン』の監督・脚本を手がけ、2022年に公開しました。幼少期から憧れ続けた「ウルトラマン」を自らの手で映画化
EP-000002112,本庶佑,70,2018,2012,6,の最前線に立ち続けた本庶は、「教科書を信じるな。自分の目で確かめろ」という信念を貫き、この業績により2018年にノーベル生理学・医学賞を受賞することになります。
EP-2026010220032,本田宗一郎,42,1954,1948,6,あなたと同じ42歳のとき、本田宗一郎はマン島TTレースに挑戦しました。1954年、世界最高峰のオートバイレースへの参戦を宣言。「技術で世界一になる」—周囲の反対
EP-000002418,西郷隆盛,55,1877,1883,6,あなたと同じ55歳のとき、西郷隆盛は城山の洞窟で最期の日々を迎えていました。1877年9月、西南戦争で政府軍に包囲された彼は、かつて自らが育てた新政府と戦う運命
EP-000003572,アリアナ・グランデ,30,2017,2023,6,あなたと同じ30歳のとき、アリアナ・グランデは2017年のマンチェスター・アリーナでのテロ事件で深い傷を負いながらも、わずか2週間後に「One Love M
EP-000002114,大隅良典,65,2016,2010,6,明に没頭した日々。その地道な研究は、後にアルツハイマー病やがんの治療につながる可能性を示し、6年後の2016年にノーベル生理学・医学賞受賞へと結実します。「すぐ
EP-000006208,千原ジュニア,41,2009,2015,6,あなたと同じ41歳のとき、千原ジュニアは2009年、弟ジュニアの人気が絶頂期を迎える中で、コンビとしての活動を一時的に封印する決断をした。「兄弟で笑い
EP-000006261,清少納言,28,1000,994,6,挑戦した。「春はあけぼの」で始まる革新的な随筆『枕草子』は、後に日本文学史上初の本格的エッセイとして1000年後の現代まで愛され続ける不朽の名作となった。
EP-2512181850581264,マドンナ,32,1996,1990,6,あなたと同じ32歳のとき、マドンナは映画『エビータ』(1996年)でアルゼンチンのファーストレディ、エバ・ペロン役を演じ、女優としての評価を確立しました。この役
EP-000005263,山内,34,2021,2015,6,あなたと同じ34歳のとき、山内は2021年、M-1グランプリで2年連続準優勝の屈辱を味わった直後、相方の濱家から「もうボケとツッコミを入れ替え
E2802F6B5,北島康介,14,2001,1996,5,じ14歳のとき、北島康介は日本選手権で非常に若くして優勝という快挙を成し遂げました。中学3年生だった2001年、周囲は高校生や大学生、実業団の強豪選手ばかり。し
EP-000001938,松本孝弘,56,2022,2017,5,あなたと同じ56歳のとき、松本孝弘は2022年にB'zとして結成35周年を迎え、記念アルバム『HIGHWAY X』をリリースしました。この年、彼は
EP-2026010220004,福沢諭吉,32,1872,1867,5,あなたと同じ32歳のとき、福沢諭吉は『学問のすすめ』初編を刊行しました。1872年、「天は人の上に人を造らず」で始まるこの書は、封建的身分制度を否定し、学問によ
EP-000007765,山下達郎,35,1993,1988,5,という惨敗に終わった。しかし彼は諦めず、5年間毎年クリスマスシーズンに地道なプロモーションを続けた。1993年、JR東海のCMに起用されたことをきっかけに大ブレ
EP-000001475,前野良沢,43,1771,1766,5,幕府の命を受け、オランダ語医学書『ターヘル・アナトミア』の翻訳という困難な事業に取り組んでいました。1771年、杉田玄白らと千住の小塚原刑場で腑分け(解剖)を見
EP-000002918,徳川家康,52,1600,1595,5,あなたと同じ52歳のとき、徳川家康は関ヶ原の戦いで天下分け目の決断を下しました。1600年9月15日、濃霧の中、東軍を率いて西軍と対峙した家康は、小早川秀秋の裏
EP-000003451,山下智久,30,2020,2015,5,あなたと同じ30歳のとき、山下智久は人生最大の決断を下した。2020年、NEWSからの脱退とジャニーズ事務所からの退所を発表。16年間慣れ親しんだ環境を離れる不
EP-000003521,稲垣吾郎,38,2016,2011,5,あなたと同じ38歳のとき、稲垣吾郎は人生最大の試練に直面していた。2016年、20年以上共に歩んできたSMAPの解散が決定。ファンからの惜しみない愛情と、メンバ
