person_name,category,sub_category,tier,birth_year,description,aliases,status
imase,音楽,シンガーソングライター,2,2000,TikTokから人気に。若い世代に支持,,confirmed
羽生結弦,スポーツ,フィギュアスケート,1,1994,五輪2連覇。国民的スター。プロ転向後も活躍,Yuzuru Hanyu,confirmed
浅田真央,スポーツ,フィギュアスケート,1,1990,フィギュアスケートの女王。国民的人気,Mao Asada,confirmed
宇野昌磨,スポーツ,フィギュアスケート,1,1997,平昌五輪銀メダリスト。実力派スケーター,Shoma Uno,confirmed
鍵山優真,スポーツ,フィギュアスケート,1,2003,北京五輪銀メダリスト。次世代エース,Yuma Kagiyama,confirmed
坂本花織,スポーツ,フィギュアスケート,1,2000,世界選手権王者。日本女子エース,Kaori Sakamoto,confirmed
紀平梨花,スポーツ,フィギュアスケート,1,2002,トリプルアクセルの名手。グランプリファイナル優勝,Rika Kihira,confirmed
伊藤美誠,スポーツ,卓球,1,2000,卓球女子の絶対エース。東京五輪メダリスト,Mima Ito,confirmed
早田ひな,スポーツ,卓球,1,2000,卓球女子のエース。パリ五輪での活躍期待,Hina Hayata,confirmed
張本智和,スポーツ,卓球,1,2003,卓球男子のエース。史上最年少世界ランク1位経験,Tomokazu Harimoto,confirmed
戸上隼輔,スポーツ,卓球,2,2001,卓球男子の若手スター。急成長中,Shunsuke Togami,confirmed
大谷翔平,スポーツ,野球,1,1994,二刀流でMLB MVP。世界的スター,Shohei Ohtani,confirmed
ダルビッシュ有,スポーツ,野球,1,1986,MLB投手。日本人投手の最高峰,Yu Darvish,confirmed
吉田正尚,スポーツ,野球,1,1993,MLB打者。パワフルな打撃で人気,Masataka Yoshida,confirmed
今永昇太,スポーツ,野球,1,1993,MLB投手。DeNAからカブスへ,Shota Imanaga,confirmed
山本由伸,スポーツ,野球,1,1998,MLB投手。令和の怪物。ドジャース所属,Yoshinobu Yamamoto,confirmed
久保建英,スポーツ,サッカー,1,2001,レアル・ソシエダ所属。日本サッカーの至宝,Takefusa Kubo,confirmed
三笘薫,スポーツ,サッカー,1,1997,ブライトン所属。ドリブルの名手,Kaoru Mitoma,confirmed
冨安健洋,スポーツ,サッカー,1,1998,アーセナル所属。ビッグクラブのDF,Takehiro Tomiyasu,confirmed
堂安律,スポーツ,サッカー,1,1998,フライブルク所属。日本代表の主力,Ritsu Doan,confirmed
遠藤航,スポーツ,サッカー,1,1993,リバプール所属。日本人初のプレミア優勝経験,Wataru Endo,confirmed
井上尚弥,スポーツ,ボクシング,1,1993,4階級制覇。モンスター。世界最強ボクサーの一人,Naoya Inoue,confirmed
那須川天心,スポーツ,ボクシング,1,1998,キックボクシングからボクシング転向。神童,Tenshin Nasukawa,confirmed
村田諒太,スポーツ,ボクシング,1,1986,ロンドン五輪金メダル。WBAミドル級王者,Ryota Murata,confirmed
