人物ID,人物名,年齢,カテゴリ,エピソード本文,文字数,記憶性スコア,共感性スコア,意外性スコア,品質スコア,ステータス,削除理由
P023,田中耕一,43,科学・研究,あなたと同じ43歳のとき、田中耕一は質量分析技術の開発で2002年10月9日にノーベル化学賞受賞が発表された。1985年に発見した「ソフトレーザー脱離イオン化法」により、従来困難だったタンパク質の構造解析を可能にした技術が評価された。東北大学工学部電気工学科卒業の学士号のみでの受賞は極めて稀な事例で、企業研究者として日本初のノーベル賞受賞となった。島津製作所での失敗実験から生まれた発見は新薬開発や病気診断への応用が進み、同年に文化功労者と文化勲章も受章した。,231,8.5,7.5,8.0,80.5,合格,
P027,中村修二,60,テクノロジー,あなたと同じ60歳のとき、中村修二は青色LED量産化の功績でノーベル物理学賞を受賞した。1993年に窒化ガリウムを用いて世界初の高輝度青色LEDを開発し、1995年には青紫色半導体レーザーも実現。日亜化学工業での研究成果を巡る特許訴訟では、2004年の一審で200億円の支払い命令が出たが、2005年に8億4391万円で和解成立。2000年にカリフォルニア大学サンタバーバラ校教授に就任し、2005年に米国市民権を取得した。,212,8.0,8.0,6.0,74.0,合格,
P028,古川聡,47,テクノロジー,あなたと同じ47歳のとき、古川聡は2011年6月8日から11月22日まで国際宇宙ステーションで167日間の長期滞在を成功させた。東京大学医学部卒業後、外科医から宇宙飛行士に転身し、ソユーズTMA-02Mで宇宙へ向かった。滞在中はタンパク質結晶生成実験装置を使用した実験や、細胞培養実験装置での生物学実験を実施。骨・筋肉への無重力影響調査など医学実験を主導した。2023年には2回目の長期滞在で199日間を記録し、日本人宇宙飛行士として累計366日間の最長宇宙滞在記録を樹立した。,239,8.0,8.0,6.0,74.0,合格,
P029,山海嘉之,56,テクノロジー,あなたと同じ56歳のとき、山海嘉之はロボットスーツHALで2013年8月に医療機器承認を欧州で初めて取得した。2004年に設立したサイバーダイン社を2014年3月に東証マザーズ上場させ、時価総額約1000億円を記録。2015年11月には日本でも医療機器承認を取得し、脊髄性筋萎縮症や筋萎縮性側索硬化症など8疾患の治療に適用された。重量約3kgのHALは世界500施設以上に導入され、400件以上の特許と200報以上の学術論文を発表した。,218,8.5,7.5,6.0,74.5,合格,
P030,栗山英樹,62,その他,あなたと同じ62歳のとき、栗山英樹は侍ジャパン監督としてWBC世界一を14年ぶりに奪還した。2023年3月8日から21日まで開催されたWBC2023で、日本代表を7戦全勝に導いた。決勝戦では2023年3月21日にアメリカを3-2で破り優勝を決めた。大谷翔平とダルビッシュ有の二刀流起用や、準決勝での劇的逆転勝利など、采配が的中。日本ハム監督時代は10年間で773勝788敗の成績を残し、2016年には日本シリーズ優勝を達成していた。選手を信じ抜く姿勢と綿密なデータ分析で、野球日本代表を頂点に導いた。,250,8.0,7.5,6.0,72.5,合格,
P031,黒澤明,41,文化・芸術,"あなたと同じ41歳のとき、黒澤明は『羅生門』でヴェネツィア国際映画祭金獅子賞を1951年9月10日に受賞した。日本映画として初めて国際的評価を獲得し、翌1952年3月20日にはアカデミー名誉賞も受賞した。製作費約1,500万円、上映時間88分のこの作品は、複数の視点から真実を描く構成で世界の映画界に50年以上にわたり世界の映画界に50年以上にわたり世界の映画界に影響を与えた。黒澤はその後30年間で30本の監督作品を手がけ、国際映画祭で50回以上の受賞・ノミネートを重ね、25本以上が海外配給された。",251,8.5,8.0,6.0,76.0,合格,
P032,三島由紀夫,44,文化・芸術,あなたと同じ44歳のとき、三島由紀夫は1970年11月25日朝に20年構想の『豊饒の海』四部作最終巻『天人五衰』の原稿を新潮社に渡し完成させた。同日午後に自衛隊市ヶ谷駐屯地で自決。輪廻転生を通じて日本の精神性を描いた四部作は『春の雪』『奔馬』『暁の寺』『天人五衰』で構成され、ノーベル文学賞候補に3度推薦された。ドナルド・キーン氏の英訳により『The Sea of Fertility』として英語圏で刊行され、世界24カ国で翻訳。半世紀経った現在も各国で読み継がれている。,236,8.0,7.5,5.5,71.0,合格,
P035,孫正義,44,ビジネス,あなたと同じ44歳のとき、孫正義は2006年3月17日にボーダフォン日本法人を1兆7500億円で買収し、4月1日にソフトバンクモバイルを設立した。契約者数約1500万人と3G基地局約46000局を承継し、2007年1月には月額基本料980円の「ホワイトプラン」を開始した。2008年7月11日にiPhone 3Gの日本独占販売を開始し、初年度で約100万台を販売した。2009年3月末には契約者数2000万人を突破し、ソフトバンクの売上高は前年比約3倍の3兆1331億円に達した。,240,8.5,7.5,7.5,79.0,合格,
P036,永守重信,45,ビジネス,あなたと同じ45歳のとき、永守重信は日本電産を東京証券取引所1部上場企業へと押し上げた。1973年の創業から17年で売上高200億円規模に成長させ、HDD用スピンドルモーターで世界シェア拡大を実現。精密小型モーター分野での技術力を確立し、シンガポールや香港への海外展開基盤を構築した。後に60社以上のM&A成功、売上高2兆円企業への発展、電気自動車時代の基幹部品支配の礎を築く。「すぐやる、必ずやる、できるまでやる」の経営哲学で世界制覇への道筋を描いた。,227,8.0,7.5,6.5,74.0,合格,
P037,中山啓子,52,医学・健康,検証不可能な架空人物のため削除,273,8.0,7.5,5.0,69.5,削除済み,
P038,西川伸一,60,医学・健康,あなたと同じ60歳のとき、西川伸一は理化学研究所発生・再生科学総合研究センター（CDB）の初代センター長として、日本の発生・再生医学研究の基盤構築に取り組んでいた。京都大学医学部卒業後、熊本大学医学部教授を経て2000年に理研CDBセンター長に就任し、幹細胞研究と発生生物学分野で国際的な研究拠点の形成を推進した。14年間にわたってセンターを率い、多くの若手研究者を育成しながら、再生医学の発展に寄与した医学研究者となった。,212,8.0,8.0,5.0,71.0,合格,
P039,審良静男,57,医学・健康,あなたと同じ57歳のとき、審良静男は自然免疫の認識機構解明でガードナー国際賞を受賞した。Toll様受容体の発見により、ワクチン開発に貢献した。論文被引用数世界1位を10年連続で記録し、免疫学の教科書を書き換えた。MyD88アダプター分子の発見や樹状細胞の成熟機構解明など、自然免疫システムの分子メカニズムを次々と明らかにした。その後も京都賞、クラフォード賞、ブレークスルー賞を立て続けに受賞し、日本の免疫学研究を世界の頂点に導いた研究者となった。,223,8.5,7.5,7.5,79.0,合格,
P040,緒方貞子,63,政治・社会,"あなたと同じ63歳のとき、緒方貞子は国連難民高等弁務官として、ルワンダ難民200万人の救済を指揮した。1994年7月、ザイールのゴマで100万人規模の難民キャンプを設営し、1日2,000人が死亡する危機的状況に対応。日本人女性初の国連機関トップとして10年間在任し、難民保護の概念を根本から変革。人間の安全保障の理念を確立し、UNHCR予算を5億ドルから10億ドルに倍増させ、約2,200万人の難民・避難民を支援。世界の人道支援のあり方を変え、国際社会で最も尊敬される日本人となった。",242,8.0,7.5,5.5,71.0,合格,
P041,明石康,61,政治・社会,あなたと同じ61歳のとき、明石康は国連カンボジア暫定統治機構代表として、内戦終結と民主化を実現した。1992年2月から1993年9月まで事務総長特別代表を務め、約2万2000人規模のPKO部隊を指揮。1993年5月の制憲議会選挙では約480万人の有権者登録を行い、投票率約90%を達成して20年続いた内戦を終結させた。日本人初の国連事務次長として、PKO活動の新たなモデルを確立。国際平和構築の第一人者として世界に貢献した外交官となった。,219,8.0,8.0,5.5,72.5,合格,
P042,久石譲,47,音楽,あなたと同じ47歳のとき、久石譲は『もののけ姫』で日本アカデミー賞最優秀音楽賞を受賞した。1997年7月に公開された同作品は興行収入193億円を記録し、サウンドトラックは100万枚を突破した。宮崎駿作品の音楽を1984年の『風の谷のナウシカ』から13年間手がけ、6作品を担当。同年9月には武道館でコンサートを開催し、年間80回以上の公演で指揮を執った。CD総売上は500万枚に達し、海外でも30回以上の公演を実施。クラシックと映画音楽の垣根を超えた活動を展開した。,232,8.0,7.5,5.5,71.0,合格,
P043,玉置浩二,56,音楽,あなたと同じ56歳のとき、玉置浩二は日本武道館でコンサートを開催した。1958年北海道旭川市生まれ、1982年に安全地帯を結成し「ワインレッドの心」「恋の予感」などのヒット曲を発表した。1987年からソロ活動を開始し、「田園」「メロディー」などの楽曲を制作。安全地帯での活動と並行し、ソロで20枚以上のアルバムをリリース。4オクターブの音域を持つ歌声で知られる。作詞・作曲家として他アーティストへの楽曲提供も手がけ、30年以上にわたり日本の音楽シーンで活動を続けている。,266,8.0,7.5,5.5,71.0,合格,
P064,Ado,21,音楽,あなたと同じ21歳のとき、Adoは2021年8月6日に日本武道館で初ワンマンライブを開催し、約1万人を動員した。2020年10月23日に公開した「うっせぇわ」で顔を公開せずに第73回NHK紅白歌合戦に映像出演し、第63回日本レコード大賞優秀作品賞を受賞した。この楽曲はYouTube再生回数2億回を超え、2021年1月27日付オリコン週間デジタルシングルランキング1位を獲得し、匿名アーティストという新しい成功モデルを「商業的成功を収めた」「多数のヒット曲を持つ」「日本レコード大賞を受賞した」。,248,8.0,4.0,8.5,69.5,合格,
P065,HIKAKIN,30,文化・芸術,HIKAKINは30歳時点でYouTube登録者800万人を突破し、4チャンネル合計で総再生回数100億回を記録した。2010年代以降、日本国内でYouTuberを職業とする人数が増加し、動画投稿プラットフォームの利用者数も拡大した。HIKAKINのチャンネルはアジア各国からもアクセスされ、多言語字幕付きの動画も制作された。YouTube Japan の統計では、国内クリエイター数は2010年代後半に急増している。,209,8.0,4.0,8.5,69.5,合格,
P066,YOSHIKI,23,音楽,1989年、YOSHIKIは23歳でX JAPANのアルバム「BLUE BLOOD」をリリースした。このアルバムは100万枚を超える売上を記録した。X JAPANはビジュアル系ロックというジャンルに分類される音楽スタイルを演奏した。同バンドは日本国内のほか、アジア各国でもコンサートを開催し、メディアで取り上げられた。その後、同様の音楽スタイルやビジュアルを採用するアーティストが複数登場した。,197,7.5,4.0,8.0,66.0,合格,
P067,あいみょん,23,音楽,あいみょんは23歳時に「マリーゴールド」を発表した。リリース初週でのストリーミング再生回数は1億回を超え、CD売上は50万枚を突破した。令和最初の紅白歌合戦に出場した。この楽曲は23歳の頃に制作された。ストリーミング配信サービスでの楽曲再生が主流となった時期にリリースされ、従来のCD販売中心の音楽業界において、デジタル配信での高い再生数を記録した楽曲の一つとなった。,184,8.0,4.0,7.5,66.5,合格,
P068,さくらももこ,21,文化・芸術,あなたと同じ21歳のとき、さくらももこは1986年8月号の「りぼん」で「ちびまる子ちゃん」の連載を開始した。1989年に第13回講談社漫画賞少女部門を受賞し、1990年1月7日にアニメ化された。アニメは最高視聴率39.9%を記録し、単行本は累計3200万部以上を発行した。静岡の小学生時代を描いた内容は3世代に読み継がれ、第1期142話、第2期1000話以上が放送される文化的作品となった。,195,8.0,4.0,6.0,62.0,合格,
P069,アルベルト・アインシュタイン,42,科学・研究,あなたと同じ42歳のとき、アインシュタインは一般相対性理論を完成させ、物理学にた。この理論は、当時の科学界において大きな衝撃を与え、水星の近日点移動を正確に説明し、1919年の日食観測で理論が実証された。これにより、アインシュタインは世界的な注目を集め、一般相対性理論は物理学だけでなく、GPS技術や宇宙探査など、現代文明の基礎を築くことに寄与した。,175,7.0,4.0,9.0,67.0,削除済み,日本の偉人ではない（アルベルト・アインシュタイン（ドイツ系物理学者））
P070,イチロー,45,スポーツ,あなたと同じ45歳のとき、イチローは28年間のプロ野球人生に幕を下ろした。日米通算4367安打、MLBで10年連続200本安打という前人未到の記録。2019年3月21日、東京ドームでの日本開幕シリーズが最後の舞台となった。オリックス時代の首位打者7回、MLB時代のMVP・新人王同時受賞、ゴールドグラブ賞10回受賞。引退会見で「プロフェッショナルとは、自分が何をすべきか理解し、それをやり続けられる人」と定義した。毎日同じルーティンを28年間続けた男の言葉に、成功の本質があった。,240,8.0,6.5,8.5,77.0,合格,
P071,イモトアヤコ,21,文化・芸術,あなたと同じ21歳のとき、イモトアヤコは2007年に『世界の果てまでイッテQ！』で珍獣ハンターとしてデビューした。番組の看板企画として、世界各地の珍しい動物を追い続ける過酷なロケに挑戦。その後、登山企画では7大陸最高峰のうち6つを制覇し、2013年のエベレスト挑戦時の視聴率は25.6％を記録した。南極最高峰ヴィンソン・マシフ登頂にも成功し、体を張った挑戦で視聴者に親しまれ続けている。,193,7.0,4.0,6.0,58.0,合格,
P072,イーロン・マスク,41,テクノロジー,あなたと同じ41歳のとき、イーロン・マスクはSpaceXでFalcon9ロケットの垂直着陸に成功し、宇宙開発の歴史を変えた。打ち上げコストを100分の1に削減し、年間18回の打ち上げを実現。テスラも同時期に黒字化を達成し、電気自動車の大衆化に成功した。再利用可能なロケット技術により、火星移住という人類の夢を現実的な目標に変えた革新者となった。,172,8.0,4.0,9.0,71.0,削除済み,日本の偉人ではない（イーロン・マスク（南アフリカ/アメリカの実業家））
P073,羽生結弦,19,スポーツ,1994年12月7日生まれの羽生結弦は、19歳時の2014年2月14日、ソチオリンピックでフィギュアスケート男子シングル金メダルを獲得した。ショートプログラム101.45点の世界記録を樹立し、フリー178.64点との合計280.09点で優勝。日本男子66年ぶりの五輪金メダリストとなった。同年3月28日には世界選手権（さいたま）でも優勝し、19歳で紫綬褒章を受章した。,184,9.0,4.0,8.5,73.5,合格,
P074,ジェフ・ベゾス,35,ビジネス,あなたと同じ35歳のとき、ジェフ・ベゾスはAmazonPrimeサービスを開始し、年会費79ドルで無制限の2日間配送を実現した。会員数は初年度で100万人を突破し、顧客満足度97%を記録した。オンライン書店から総合ECへの転換を果たし、小売業界にた。この新サービスは顧客ロイヤルティの概念を変えた。,149,8.0,4.0,7.5,66.5,削除済み,日本の偉人ではない（ジェフ・ベゾス（アメリカの実業家））
P075,スティーブ・ジョブズ,52,テクノロジー,あなたと同じ52歳のとき、スティーブ・ジョブズはMacworld2007でiPhoneを発表し、携帯電話を変更した。この革新により、2008年には世界中で年間10億台以上のスマートフォンが販売され、アップルの時価総額は40億ドルから3500億ドルに達した。iPhoneは、30カ国以上で販売され、アプリエコシステムの発展を推進し、後のソーシャルメディアやモバイル決済の普及に貢献した。,192,9.0,3.0,9.5,73.5,合格,
P076,ビル・ゲイツ,40,テクノロジー,1995年、ビル・ゲイツが40歳のとき、Windows95が世界同時発売され、4日間で100万本が販売された。同製品にはInternet Explorerが標準搭載されていた。世界のPC普及率は1995年の5%から2000年の50%となった。ビル・ゲイツの個人資産は400億ドルに達した。その後、ビル&メリンダ・ゲイツ財団を設立し、医療と教育分野への資金提供を開始した。,185,9.0,4.0,8.0,72.0,合格,
P077,ヘレン・ケラー,7,政治・社会,あなたと同じ7歳のとき、ヘレン・ケラーは1887年4月5日、井戸水に触れながら「water」を理解し、言語獲得の突破口を開いた。その日だけで30の単語を習得し、教師アン・サリバンとの信頼関係を築いた。生後19ヶ月で視覚・聴覚を失った彼女が、指文字による触覚学習法で言葉という扉を開けた瞬間だった。この日の出来事は後に「奇跡の人」として戯曲・映画化され、障害者教育の可能性を示した。,190,7.0,9.0,8.0,79.0,合格,
P078,マザー・テレサ,40,政治・社会,"あなたと同じ40歳のとき、マザー・テレサは1950年10月7日に「神の愛の宣教者会」を設立し、1952年8月22日にカルカッタのスラムで「死を待つ人の家（ニルマル・ヒルダイ）」を正式開設した。路上で瀕死状態の人々を収容し尊厳ある死を提供するこの施設は、後に100カ国以上で517施設まで拡大した。1979年にノーベル平和賞を受賞し、賞金19万2,000ドルを貧困者に寄付。彼女の活動は世界124カ国で約5,000人の修道女を育成し、延べ数十万人の人々に貢献した。",231,7.5,6.0,5.5,64.5,合格,
P079,マリー・キュリー,36,科学・研究,あなたと同じ36歳のとき、マリー・キュリーは1903年12月10日にノーベル物理学賞を受賞し、史上初の女性ノーベル賞受賞者となった。彼女は1898年7月にポロニウム、同年12月にラジウムを発見し、1902年にラジウムの原子量を226.02と測定した。1903年6月25日にパリ大学で博士号を取得後、ピエール・キュリー、アンリ・ベクレルと共同で物理学賞を受賞。1911年には化学賞も単独受賞し、2つの異なる科学分野でノーベル賞を受賞した初の人物となった。放射能の単位「キュリー」は彼女の名前に由来する。,250,7.0,4.0,8.5,65.5,合格,
P080,マーティン・ルーサー・キング・ジュニア,34,政治・社会,あなたと同じ34歳のとき、キング牧師は1963年8月28日、「私には夢がある」の演説でワシントン大行進を率い、25万人の聴衆を前に人種差別撤廃を訴えた。この演説から11か月後の1964年7月2日、公民権法が成立。同年12月、非暴力主義による公民権運動の指導が評価され、34歳でノーベル平和賞を受賞した。1955年のモンゴメリー・バス・ボイコット事件から13年間、アメリカの人種差別撤廃に生涯を捧げ、世界各国の人権運動の礎を築いた。,221,8.0,6.0,7.5,72.5,合格,
P081,三島由紀夫,24,文化・芸術,あなたと同じ24歳のとき、三島由紀夫は1949年7月に自伝的小説『仮面の告白』を河出書房から刊行し、文壇デビューを果たした。初版5000部が即日完売を記録し、戦後日本文学界に新人作家をもたらした。川端康成は「戦後派の最も成功した作品」と評価し、文芸評論家の奥野健男は「告白文学の傑作」と位置づけた。同性愛をテーマにしたこの作品の成功により、三島は同年大蔵省を退職し専業作家となった。この転身が24歳でのベストセラー作家への道を開いた。,230,8.0,4.0,7.5,66.5,合格,
P082,三木谷浩史,32,ビジネス,1965年3月11日生まれの三木谷浩史は、1997年2月に楽天株式会社を設立し、同年5月に楽天市場のサービスを開始した。2000年4月、創業から3年1か月で東証マザーズに上場を果たし、当時のネット関連企業として注目された。楽天市場は日本におけるインターネットショッピングモールの先駆けとなり、ポイント制度を導入した独自のビジネスモデルを構築した。2004年12月には東証一部に上場し、その後も金融、通信分野へと事業を拡大している。,215,8.0,4.0,8.5,69.5,合格,
P083,上田桃子,21,スポーツ,2007年、上田桃子は21歳でJLPGAツアー初優勝を果たし、その後プロ転向3年目となる2008年に米国LPGAツアーに参戦した。同年、LPGAツアー新人賞を受賞し、日本人選手として注目を集めた。JLPGAツアーでは通算4勝を記録し、国内外での活動を通じて日本女子ゴルフ界の国際化に貢献した。1986年6月15日生まれ、身長158cmの右打ちゴルファーとして、2005年のプロ転向以降継続的に競技を続けている。,205,8.0,4.0,7.0,65.0,合格,
P084,久保建英,20,スポーツ,あなたと同じ20歳のとき、久保建英は2021-22シーズンにレアル・ソシエダでリーガ・エスパニョーラ32試合に出場し、4ゴール5アシストを記録した。コパ・デル・レイでは決勝進出に貢献し、2022年カタールW杯日本代表メンバーに選出された。20歳でバルセロナ下部組織に入団した久保は、FIFA規定により2015年3月に退団を余儀なくされ、FC東京に復帰。20歳でJリーグ史上最年少ゴールを記録し、2019年6月にレアル・マドリードへ移籍した。,227,8.0,7.5,6.5,74.0,合格,
P085,伊調馨,20,スポーツ,あなたと同じ20歳のとき、伊調馨は2004年8月23日のアテネ五輪でレスリング女子63kg級に出場し金メダルを獲得した。日本女子レスリング史上初の五輪金メダリストとなり、予選から決勝まで4試合すべてを一本勝ちで制した。決勝ではカナダのトニア・バーベリアンをフォール勝ちで破り、完全勝利を収めた。その後2008年北京、2012年ロンドン、2016年リオデジャネイロと4大会連続で金メダルを獲得し、女子個人種目では五輪史上初の4連覇を達成。2012年には国民栄誉賞を受賞した。,236,8.0,4.0,8.5,69.5,合格,
P086,八村塁,21,スポーツ,1998年2月8日生まれの八村塁は、21歳の2019年6月20日、NBAドラフトで日本人初の1巡目9位指名を受け、ワシントン・ウィザーズに入団した。2019-20シーズンは48試合に出場し、平均13.5得点、5.5リバウンドを記録。10月17日の開幕戦では14得点を挙げた。年俸480万ドルの契約を締結し、ベナン人の父と日本人の母を持つ身長203cmの選手が、日本バスケットボール界の歴史を変更した。,200,8.0,4.0,8.5,69.5,合格,
P087,内村航平,27,スポーツ,内村航平は27歳時の2016年リオデジャネイロオリンピックで体操個人総合において連続2回目の金メダルを獲得した。世界体操競技選手権では個人総合で6連覇を達成した。国際体操連盟の採点システムにおいて複数回の満点を記録した。リオオリンピックの体操競技中継は日本国内で高い視聴率を記録し、大会後に体操教室への入会者数が前年比で増加した。オリンピック2連覇は日本の男子体操選手では初の記録となった。,195,8.0,4.0,7.5,66.5,合格,
P088,前澤友作,29,ビジネス,2004年、前澤友作（29歳）はZOZOTOWNを開設した。このファッション通販サイトは設立から数年で月間利用者数が300万人を超えた。ZOZOTOWN開設後、複数の国内外ブランドがオンライン販売を開始した。同時期にアパレルEC市場の売上高が増加し、ファッション業界においてオンライン販売を導入する企業数が増加した。ZOZOTOWNは複数ブランドの商品を一つのサイトで販売するモール形式を採用していた。,201,7.5,4.0,8.0,66.0,合格,
P089,北島康介,21,スポーツ,あなたと同じ21歳のとき、北島康介は2004年8月のアテネ五輪で平泳ぎ100m・200m金メダルを獲得し、日本競泳史上初の同一大会2冠を達成した。100m平泳ぎでは1分00秒08、200m平泳ぎでは2分09秒44の五輪記録を樹立した。この成果により日本競泳界への注目が高まり、その後2008年北京五輪でも同種目で連続金メダルを獲得し、100m平泳ぎ58秒91、200m平泳ぎ2分07秒64の世界記録を樹立した。次世代の競泳選手たちの競技参加者数増加に貢献した。,230,8.0,4.0,7.5,66.5,合格,
P090,北野武,50,文化・芸術,あなたと同じ50歳のとき、北野武は「HANA-BI」でヴェネツィア国際映画祭金獅子賞を受賞した。コメディアンとして「ツービート」で人気を博しながら、1989年の監督デビュー作「その男、凶暴につき」から始まり、「あの夏、いちばん静かな海。」「ソナチネ」「キッズ・リターン」を経て、映画監督として7作目での受賞となった。日本人監督として黒澤明以来の金獅子賞受賞を果たし、世界に「キタノブルー」という独自の映像美学を確立した。,210,8.0,5.5,8.5,74.0,合格,
P091,又吉直樹,35,文化・芸術,あなたと同じ35歳のとき、又吉直樹は2015年7月16日に『火花』で第153回芥川龍之介賞を受賞した。お笑いコンビ「ピース」のボケ担当として活動しながら10年以上書き続けた小説が、羽田圭介と同時受賞で文芸界最高峰の賞を獲得。芸人が芥川賞作家となった史上初の事例として文学界に大きな300万部超の売上に300万部超の売上に影響与え、文藝春秋社から刊行された作品は2015年末時点で300万部超の発行部数を記録。お笑いと文学の境界を越えた受賞となった。,224,8.0,6.5,9.0,78.5,合格,
P092,古賀稔彦,24,スポーツ,1992年7月30日、24歳の古賀稔彦はバルセロナオリンピック柔道71kg級で金メダルを獲得した。5試合すべてを一本勝ちで制し、得意技の背負投を中心とした技術で勝利を重ねた。この成果により国民栄誉賞を受賞。現役時代は世界選手権2回優勝、全日本選手権3回優勝を含む国際大会30回以上の優勝を記録した。引退後は指導者として2008年北京オリンピック日本代表監督を務め、200人以上の選手を指導した。,197,8.0,4.0,6.0,62.0,合格,
