source_id,person_name,person_id,person_type,source_url,source_type,raw_text,context,evidence_quality,verification_status,collected_at,verified_at,category,description
SRC-380227b1feb23db1,久坂部羊,,REAL,https://ja.wikipedia.org/wiki/久坂部羊,WIKIPEDIA,2003年、小説『廃用身』で小説家デビューし、日本医療小説大賞を受賞した。出典: Wikipedia「久坂部羊」参照,年齢48歳時の業績,B,verified,,2025-12-17T23:13:53.954452,医学・健康,医師・小説家・大阪大学医学部卒業
SRC-d1310a0a7d9ca2d1,海堂尊,,REAL,https://ja.wikipedia.org/wiki/海堂尊,WIKIPEDIA,2006年、小説『チーム・バチスタの栄光』で『このミステリーがすごい!』大賞を受賞し、医療ミステリー作家として注目された。出典: Wikipedia「海堂尊」参照,年齢45歳時の業績,B,verified,,2025-12-17T23:13:53.954618,医学・健康,医師・小説家・千葉大学医学部卒業
SRC-5dfd61ff1a31d32a,丹下健三,,REAL,https://ja.wikipedia.org/wiki/丹下健三,WIKIPEDIA,1955年、広島平和記念資料館を設計し、戦後日本建築の象徴的作品を完成させた。出典: Wikipedia「丹下健三」参照,年齢42歳時の業績,B,verified,,2025-12-18T01:21:31.747481,建築・デザイン,建築家・広島平和記念資料館設計者
SRC-b42c8476c8389e0b,安藤忠雄,,REAL,https://ja.wikipedia.org/wiki/安藤忠雄,WIKIPEDIA,1976年、住吉の長屋を設計し、コンクリート打ちっぱなし建築の代表作を完成させた。出典: Wikipedia「安藤忠雄」参照,年齢35歳時の業績,B,verified,,2025-12-18T01:21:31.747752,建築・デザイン,建築家・住吉の長屋設計者
SRC-c926f71a1c309f3f,槇文彦,,REAL,https://ja.wikipedia.org/wiki/槇文彦,WIKIPEDIA,1985年、スパイラルビルを設計し、都市型複合施設の先駆的作品を完成させた。出典: Wikipedia「槇文彦」参照,年齢57歳時の業績,B,verified,,2025-12-18T01:21:31.747943,建築・デザイン,建築家・スパイラル設計者
SRC-2841a03195a084ad,妹島和世,,REAL,https://ja.wikipedia.org/wiki/妹島和世,WIKIPEDIA,2004年、金沢21世紀美術館を設計し、透明性と開放性を持つ現代建築の代表作を完成させた。出典: Wikipedia「妹島和世」参照,年齢48歳時の業績,B,verified,,2025-12-18T01:21:31.748135,建築・デザイン,建築家・金沢21世紀美術館設計者
SRC-e3065f5548606f48,西沢立衛,,REAL,https://ja.wikipedia.org/wiki/西沢立衛,WIKIPEDIA,2004年、金沢21世紀美術館を妹島和世と共同設計し、現代建築の新しい可能性を示した。出典: Wikipedia「西沢立衛」参照,年齢38歳時の業績,B,verified,,2025-12-18T01:21:31.748321,建築・デザイン,建築家・金沢21世紀美術館設計者
SRC-a6ed0e7b55e2e297,隈研吾,,REAL,https://ja.wikipedia.org/wiki/隈研吾,WIKIPEDIA,2020年、東京オリンピックの国立競技場を設計し、木材を活用した日本的建築を完成させた。出典: Wikipedia「隈研吾」参照,年齢66歳時の業績,B,verified,,2025-12-18T01:21:31.748514,建築・デザイン,建築家・国立競技場設計者
SRC-4452983f5f7c1f0b,伊東豊雄,,REAL,https://ja.wikipedia.org/wiki/伊東豊雄,WIKIPEDIA,2001年、せんだいメディアテークを設計し、流動的な空間構成を持つ公共建築を完成させた。出典: Wikipedia「伊東豊雄」参照,年齢60歳時の業績,B,verified,,2025-12-18T01:21:31.748748,建築・デザイン,建築家・せんだいメディアテーク設計者
SRC-ef06822bdcfd2001,坂茂,,REAL,https://ja.wikipedia.org/wiki/坂茂,WIKIPEDIA,1995年、阪神大震災の被災地で紙のログハウスを開発し、災害支援建築の先駆けとなった。出典: Wikipedia「坂茂」参照,年齢38歳時の業績,B,verified,,2025-12-18T01:21:31.748951,建築・デザイン,建築家・紙のログハウス開発者
SRC-619e5e8c062b368f,黒川紀章,,REAL,https://ja.wikipedia.org/wiki/黒川紀章,WIKIPEDIA,1972年、中銀カプセルタワービルを設計し、メタボリズム建築の代表作を完成させた。出典: Wikipedia「黒川紀章」参照,年齢38歳時の業績,B,verified,,2025-12-18T01:21:31.749158,建築・デザイン,建築家・中銀カプセルタワー設計者
SRC-b7c89b0c70328b47,磯崎新,,REAL,https://ja.wikipedia.org/wiki/磯崎新,WIKIPEDIA,1990年、アート・タワー水戸を設計し、芸術と建築の融合を実現した複合施設を完成させた。出典: Wikipedia「磯崎新」参照,年齢59歳時の業績,B,verified,,2025-12-18T01:21:31.749402,建築・デザイン,建築家・アート・タワー水戸設計者
