person_name,category,tier,aliases,birth_year,description
ソフィア・コッポラ,映画・演劇,2,,1971.0,女性監督の先駆者。「ロスト・イン・トランスレーション」でアカデミー脚本賞
ダーレン・アロノフスキー,映画・演劇,2,,1969.0,「レクイエム・フォー・ドリーム」「ブラック・スワン」の監督
デヴィッド・リンチ,映画・演劇,2,,1946.0,シュルレアリスム映画の巨匠。「ツイン・ピークス」「マルホランド・ドライブ」
フランシス・フォード・コッポラ,映画・演劇,2,,1939.0,「ゴッドファーザー」「地獄の黙示録」の監督
クリストファー・ノーラン,映画・演劇,2,,1970.0,「ダークナイト」「インセプション」の監督。大作とアートの両立
デニス・ヴィルヌーヴ,映画・演劇,2,,1967.0,「ブレードランナー2049」「DUNE」の監督
ポン・ジュノ,映画・演劇,2,,1969.0,「パラサイト」でアジア初のアカデミー作品賞
アルフォンソ・キュアロン,映画・演劇,2,,1961.0,「ROMA」「ゼロ・グラビティ」の監督
ギレルモ・デル・トロ,映画・演劇,2,,1964.0,「シェイプ・オブ・ウォーター」でアカデミー監督賞
是枝裕和,映画・演劇,2,,1962.0,「万引き家族」でカンヌ最高賞。日本映画の世界的評価を高めた
北野武,映画・演劇,2,,1947.0,「HANA-BI」でベネチア金獅子賞。世界的に評価される日本人監督
宮崎駿,映画・演劇,2,,1941.0,スタジオジブリの創設者。「千と千尋の神隠し」でアカデミー賞
新海誠,映画・演劇,2,,1973.0,「君の名は。」で日本アニメの歴史的興行収入を記録
アレハンドロ・ゴンサレス・イニャリトゥ,映画・演劇,2,,1963.0,「バードマン」「レヴェナント」でアカデミー監督賞2連覇
アーネスト・ホースト,スポーツ,2,,1965.0,K-1 GP 4度優勝。「ミスターK-1」の称号
セーム・シュルト,スポーツ,2,,1973.0,K-1 GP 3度優勝。211cmの長身でヘビー級を制圧
アンディ・フグ,スポーツ,2,,1964.0,「青い目のサムライ」。K-1で人気を博した空手家
マーク・ハント,スポーツ,2,,1974.0,K-1 GP優勝後UFCでも活躍したヘビー級ファイター
ミルコ・クロコップ,スポーツ,2,,1974.0,PRIDEとK-1で活躍。「左ハイキック」で恐れられた
エメリヤーエンコ・ヒョードル,スポーツ,2,,1976.0,PRIDEヘビー級王者。「60億分の1の男」
アントニオ猪木,スポーツ,2,,1943.0,新日本プロレス創設者。異種格闘技戦の先駆者
ジャイアント馬場,スポーツ,2,,1938.0,全日本プロレス創設者。209cmの巨体でプロレス界を牽引
力道山,スポーツ,2,,1924.0,日本プロレスの父。戦後日本に希望を与えた国民的英雄
ハルク・ホーガン,スポーツ,2,,1953.0,WWF/WWEのスーパースター。世界で最も有名なプロレスラー
ザ・ロック(ドウェイン・ジョンソン),スポーツ,2,,1972.0,WWE王座を制しハリウッドスターへ転身
ジョン・シナ,スポーツ,2,,1977.0,WWEチャンピオン16回。プロレス界のトップスター
ジョルジュ・サンピエール,スポーツ,2,,1981.0,UFCウェルター級史上最高のファイター
アンデウソン・シウバ,スポーツ,2,,1975.0,UFCミドル級最長王座防衛記録。「スパイダー」
カビブ・ヌルマゴメドフ,スポーツ,2,,1988.0,UFCライト級王者。29戦無敗で引退
魔裟斗,スポーツ,2,,1979.0,K-1 WORLD MAX 2度優勝。日本格闘技界のスター
本橋麻里,スポーツ,2,,1986.0,ロコ・ソラーレ創設者。トリノ五輪から4大会連続出場
吉田夕梨花,スポーツ,2,,1993.0,ロコ・ソラーレ所属。平昌・北京五輪メダリスト
荒川静香,スポーツ,2,,1981.0,トリノ五輪金メダリスト。アジア女子初のフィギュア五輪金
浅田真央,スポーツ,2,,1990.0,トリプルアクセルの代名詞。バンクーバー五輪銀メダリスト
伊藤みどり,スポーツ,2,,1969.0,女子初のトリプルアクセル成功者。アルベールビル五輪銀
小平奈緒,スポーツ,2,,1986.0,平昌五輪500m金メダリスト。低地リンク世界記録樹立
高木美帆,スポーツ,2,,1994.0,北京五輪金メダルを含む五輪4個のメダル獲得
清水宏保,スポーツ,2,,1974.0,長野五輪500m金メダリスト。日本男子初のスケート五輪金
高梨沙羅,スポーツ,2,,1996.0,W杯歴代最多勝。五輪では悲願のメダル獲得を目指す
葛西紀明,スポーツ,2,,1972.0,8大会連続五輪出場の「レジェンド」。ソチ五輪銀メダリスト
原大智,スポーツ,2,,1997.0,平昌五輪銅メダリスト。日本男子モーグル初のメダル
上村愛子,スポーツ,2,,1979.0,五輪5大会連続出場。日本モーグルの先駆者
渡部暁斗,スポーツ,2,,1988.0,平昌五輪銀メダリスト。W杯総合優勝
平野歩夢,スポーツ,2,,1998.0,北京五輪ハーフパイプ金メダリスト。夏冬五輪出場も達成
ショーン・ホワイト,スポーツ,2,,1986.0,ハーフパイプ五輪3度金メダル。「フライング・トマト」
リンゼイ・ボン,スポーツ,2,,1984.0,W杯通算82勝は女子歴代最多。バンクーバー五輪金
ウラジーミル・プーチン,政治・社会,2,,1952.0,ロシア大統領。21世紀の国際政治に巨大な影響
習近平,政治・社会,2,,1953.0,中国国家主席。「中国の夢」を掲げ世界第2位の経済大国を指導
ナレンドラ・モディ,政治・社会,2,,1950.0,インド首相。14億人の民主主義国家を率いる
ボリス・ジョンソン,政治・社会,2,,1964.0,英国首相。Brexit実現に導いた政治家
エマニュエル・マクロン,政治・社会,2,,1977.0,フランス大統領。39歳の史上最年少大統領
ゼレンスキー,政治・社会,2,,1978.0,ウクライナ大統領。ロシア侵攻に抵抗するリーダー
マララ・ユスフザイ,政治・社会,2,,1997.0,教育活動家。17歳で史上最年少ノーベル平和賞
グレタ・トゥーンベリ,政治・社会,2,,2003.0,環境活動家。学校ストライキで気候変動問題を世界に訴えた
ジャック・マー,ビジネス,2,,1964.0,Alibaba創業者。中国EC革命の立役者
孫正義,ビジネス,2,,1957.0,ソフトバンク創業者。世界最大のテック投資家
ティム・クック,ビジネス,2,,1960.0,Apple CEO。時価総額世界一企業を率いる
サンダー・ピチャイ,ビジネス,2,,1972.0,Google CEO。AIとクラウドで世界を変革
サティア・ナデラ,ビジネス,2,,1967.0,Microsoft CEO。クラウド転換で復活を遂げた
ジェンスン・ファン,ビジネス,2,,1963.0,NVIDIA創業者。AI革命の中心的存在
オプラ・ウィンフリー,エンターテイメント,2,,1954.0,米国で最も影響力のあるテレビ司会者・メディア王
坂本九,芸能,2,,1963.0,「上を向いて歩こう」がビルボード1位を獲得
美空ひばり,芸能,2,,1960.0,昭和の歌姫として数々のヒット曲を生み出す
松田聖子,芸能,2,,1980.0,アイドル歌手として社会現象を巻き起こす
宇多田ヒカル,芸能,2,,1999.0,「Automatic」でデビューし日本の音楽シーンを革新
坂本龍一,芸能,2,,1978.0,YMO結成と映画音楽での国際的評価
桑田佳祐,芸能,2,,1978.0,サザンオールスターズのリーダーとして日本のロック/ポップスを牽引
高倉健,芸能,2,,1965.0,日本映画の象徴的俳優として国内外で活躍
渥美清,芸能,2,,1969.0,「男はつらいよ」シリーズで国民的俳優に
吉永小百合,芸能,2,,1957.0,昭和・平成を代表する女優として長年活躍
石原裕次郎,芸能,2,,1956.0,日活映画のスターとして一時代を築く
ビートたけし,芸能,2,,1972.0,お笑い芸人から映画監督として国際的評価を獲得
志村けん,芸能,2,,1974.0,ドリフターズのメンバーとして国民的人気を獲得
萩本欽一,芸能,2,,1965.0,コント55号で一世を風靡しバラエティ番組の礎を築く
タモリ,芸能,2,,1982.0,「笑っていいとも！」で長寿番組を司会
黒柳徹子,芸能,2,,1976.0,「徹子の部屋」で長寿番組を司会
石原慎太郎,文学,2,,,
大江健三郎,文学,2,,,
村上龍,文学,2,,,
石川達三,文学,2,,,
開高健,文学,2,,,
又吉直樹,文学,2,,,
宮本輝,文学,2,,,
五木寛之,文学,2,,,
司馬遼太郎,文学,2,,,
藤沢周平,文学,2,,,
浅田次郎,文学,2,,,
渡辺淳一,文学,2,,,
北方謙三,文学,2,,,
山田詠美,文学,2,,,
宮城谷昌光,文学,2,,,
小平邦彦,数学,2,,,
広中平祐,数学,2,,,
森重文,数学,2,,,
丹下健三,建築,2,,,
槇文彦,建築,2,,,
安藤忠雄,建築,2,,,
妹島和世,建築,2,,,
西沢立衛,建築,2,,,
伊東豊雄,建築,2,,,
坂茂,建築,2,,,
磯崎新,建築,2,,,
朝永振一郎,物理学,2,,,
江崎玲於奈,物理学,2,,,
福井謙一,化学,2,,,
小林誠,物理学,2,,,
益川敏英,物理学,2,,,
南部陽一郎,物理学,2,,,
根岸英一,化学,2,,,
鈴木章,化学,2,,,
カズオ・イシグロ,文学,2,,,
