person_name,category,age,person_type,work_title
カードキャプターさくら,エンターテイメント,57,FICTIONAL,カードキャプターさくら
綾波レイ,エンターテイメント,57,FICTIONAL,新世紀エヴァンゲリオン
アスカ,エンターテイメント,43,FICTIONAL,新世紀エヴァンゲリオン
碇シンジ,エンターテイメント,49,FICTIONAL,新世紀エヴァンゲリオン
キラ・ヤマト,エンターテイメント,42,FICTIONAL,機動戦士ガンダムSEED
アムロ・レイ,エンターテイメント,34,FICTIONAL,機動戦士ガンダム
シャア・アズナブル,エンターテイメント,40,FICTIONAL,機動戦士ガンダム 逆襲のシャア
シャア・アズナブル,エンターテイメント,32,FICTIONAL,機動戦士ガンダム 逆襲のシャア
ルパン三世,エンターテイメント,26,FICTIONAL,ルパン三世
次元大介,エンターテイメント,27,FICTIONAL,ルパン三世
銭形警部,エンターテイメント,58,FICTIONAL,ルパン三世
峰不二子,エンターテイメント,24,FICTIONAL,ルパン三世
五右衛門,エンターテイメント,33,FICTIONAL,ルパン三世
涼宮ハルヒ,エンターテイメント,23,FICTIONAL,涼宮ハルヒの憂鬱
キョン,エンターテイメント,60,FICTIONAL,涼宮ハルヒの憂鬱
鏡音リン,エンターテイメント,59,FICTIONAL,VOCALOID
夜神月,エンターテイメント,56,FICTIONAL,DEATH NOTE
L,エンターテイメント,64,FICTIONAL,DEATH NOTE
スネ夫,エンターテイメント,37,FICTIONAL,ドラえもん
ジャイアン,エンターテイメント,39,FICTIONAL,ドラえもん
しずかちゃん,エンターテイメント,43,FICTIONAL,ドラえもん
銀時,エンターテイメント,43,FICTIONAL,銀魂
新八,エンターテイメント,64,FICTIONAL,銀魂
神楽,エンターテイメント,24,FICTIONAL,銀魂
日向翔陽,エンターテイメント,63,FICTIONAL,ハイキュー!!
影山飛雄,エンターテイメント,34,FICTIONAL,ハイキュー!!
黒子テツヤ,エンターテイメント,67,FICTIONAL,黒子のバスケ
火神大我,エンターテイメント,38,FICTIONAL,黒子のバスケ
越前リョーマ,エンターテイメント,45,FICTIONAL,テニスの王子様
手塚国光,エンターテイメント,46,FICTIONAL,テニスの王子様
緑谷出久,エンターテイメント,62,FICTIONAL,僕のヒーローアカデミア
オールマイト,エンターテイメント,37,FICTIONAL,僕のヒーローアカデミア
爆豪勝己,エンターテイメント,28,FICTIONAL,僕のヒーローアカデミア
轟焦凍,エンターテイメント,36,FICTIONAL,僕のヒーローアカデミア
鬼舞辻無惨,エンターテイメント,29,FICTIONAL,鬼滅の刃
お館様,エンターテイメント,35,FICTIONAL,鬼滅の刃
煉獄杏寿郎,エンターテイメント,66,FICTIONAL,鬼滅の刃
冨岡義勇,エンターテイメント,28,FICTIONAL,鬼滅の刃
栗花落カナヲ,エンターテイメント,42,FICTIONAL,鬼滅の刃
不死川実弥,エンターテイメント,57,FICTIONAL,鬼滅の刃
甘露寺蜜璃,エンターテイメント,41,FICTIONAL,鬼滅の刃
