person_name,person_type,age,category,group
ユーリ・ガガーリン,REAL,27,探検・冒険,宇宙探査
ユーリ・ガガーリン,REAL,30,探検・冒険,宇宙探査
ユーリ・ガガーリン,REAL,34,探検・冒険,宇宙探査
ジョン・グレン,REAL,30,探検・冒険,宇宙探査
ジョン・グレン,REAL,40,探検・冒険,宇宙探査
ジョン・グレン,REAL,50,探検・冒険,宇宙探査
ジョン・グレン,REAL,60,探検・冒険,宇宙探査
ジョン・グレン,REAL,77,探検・冒険,宇宙探査
サリー・ライド,REAL,25,探検・冒険,宇宙探査
サリー・ライド,REAL,32,探検・冒険,宇宙探査
サリー・ライド,REAL,40,探検・冒険,宇宙探査
サリー・ライド,REAL,50,探検・冒険,宇宙探査
サリー・ライド,REAL,61,探検・冒険,宇宙探査
楊利偉,REAL,30,探検・冒険,宇宙探査
楊利偉,REAL,38,探検・冒険,宇宙探査
楊利偉,REAL,45,探検・冒険,宇宙探査
楊利偉,REAL,50,探検・冒険,宇宙探査
楊利偉,REAL,55,探検・冒険,宇宙探査
毛利衛,REAL,35,探検・冒険,宇宙探査
毛利衛,REAL,44,探検・冒険,宇宙探査
毛利衛,REAL,50,探検・冒険,宇宙探査
毛利衛,REAL,55,探検・冒険,宇宙探査
毛利衛,REAL,60,探検・冒険,宇宙探査
若田光一,REAL,30,探検・冒険,宇宙探査
若田光一,REAL,40,探検・冒険,宇宙探査
若田光一,REAL,50,探検・冒険,宇宙探査
若田光一,REAL,55,探検・冒険,宇宙探査
若田光一,REAL,60,探検・冒険,宇宙探査
ラインホルト・メスナー,REAL,20,探検・冒険,登山
ラインホルト・メスナー,REAL,26,探検・冒険,登山
ラインホルト・メスナー,REAL,32,探検・冒険,登山
ラインホルト・メスナー,REAL,42,探検・冒険,登山
ラインホルト・メスナー,REAL,55,探検・冒険,登山
テンジン・ノルゲイ,REAL,25,探検・冒険,登山
テンジン・ノルゲイ,REAL,35,探検・冒険,登山
テンジン・ノルゲイ,REAL,39,探検・冒険,登山
テンジン・ノルゲイ,REAL,50,探検・冒険,登山
テンジン・ノルゲイ,REAL,60,探検・冒険,登山
ライト兄弟（ウィルバー）,REAL,25,探検・冒険,航空
ライト兄弟（ウィルバー）,REAL,32,探検・冒険,航空
ライト兄弟（ウィルバー）,REAL,36,探検・冒険,航空
ライト兄弟（ウィルバー）,REAL,40,探検・冒険,航空
ライト兄弟（ウィルバー）,REAL,45,探検・冒険,航空
ライト兄弟（オーヴィル）,REAL,25,探検・冒険,航空
ライト兄弟（オーヴィル）,REAL,32,探検・冒険,航空
ライト兄弟（オーヴィル）,REAL,36,探検・冒険,航空
ライト兄弟（オーヴィル）,REAL,45,探検・冒険,航空
ライト兄弟（オーヴィル）,REAL,55,探検・冒険,航空
ジェームズ・キャメロン,REAL,25,探検・冒険,深海探査
ジェームズ・キャメロン,REAL,35,探検・冒険,深海探査
ジェームズ・キャメロン,REAL,45,探検・冒険,深海探査
ジェームズ・キャメロン,REAL,57,探検・冒険,深海探査
ジェームズ・キャメロン,REAL,60,探検・冒険,深海探査
伊能忠敬,REAL,50,探検・冒険,日本探検
伊能忠敬,REAL,55,探検・冒険,日本探検
伊能忠敬,REAL,60,探検・冒険,日本探検
伊能忠敬,REAL,65,探検・冒険,日本探検
伊能忠敬,REAL,71,探検・冒険,日本探検
近藤重蔵,REAL,30,探検・冒険,日本探検
近藤重蔵,REAL,35,探検・冒険,日本探検
近藤重蔵,REAL,40,探検・冒険,日本探検
近藤重蔵,REAL,45,探検・冒険,日本探検
近藤重蔵,REAL,50,探検・冒険,日本探検
