person_name,category,age,achievement,year
バディ・リッチ,音楽,49,新ビッグバンド結成,1966
ジャック・ディジョネット,音楜,26,マイルス・デイヴィス参加,1968
ロイ・ヘインズ,音楽,27,チャーリー・パーカー参加,1952
J.J.ジョンソン,音楽,27,ビバップトロンボーン確立,1951
マイルト・ジャクソン,音楽,29,MJQ結成,1952
ライオネル・ハンプトン,音楽,27,ベニー・グッドマン参加,1936
ゲイリー・バートン,音楽,21,スタン・ゲッツ参加,1964
ビリー・ホリデイ,音楽,18,初録音,1933
ビリー・ホリデイ,音楽,24,奇妙な果実録音,1939
エラ・フィッツジェラルド,音楽,17,チック・ウェッブ楽団参加,1934
エラ・フィッツジェラルド,音楽,39,ソングブック・シリーズ開始,1956
サラ・ヴォーン,音楽,18,アポロシアター・アマチュアナイト優勝,1942
ニーナ・シモン,音楽,25,アイ・ラヴズ・ユー・ポーギー,1958
秋吉敏子,音楽,27,バークリー音楽院卒業,1956
秋吉敏子,音楽,47,コウハク録音,1976
