person_name,category,age,achievement,year
ツィメルマン,音楽,19,ショパン国際ピアノコンクール優勝,1975
ランラン,音楽,17,ラヴィニア音楽祭代役デビュー,1999
ランラン,音楽,28,北京オリンピック開会式演奏,2008
ヨーヨー・マ,音楽,7,ケネディ大統領の前で演奏,1962
ヨーヨー・マ,音楽,44,シルクロード・プロジェクト開始,1998
ムター,音楽,13,カラヤンに見出される,1976
ムター,音楽,40,ベートーヴェン・ソナタ全集録音,2003
パールマン,音楽,13,エド・サリヴァン・ショー出演,1958
パールマン,音楽,50,シンドラーのリスト演奏,1993
ハイフェッツ,音楽,16,カーネギーホールデビュー,1917
ハイフェッツ,音楽,70,最後のリサイタル,1972
バーンスタイン,音楽,40,ニューヨーク・フィル音楽監督就任,1958
バーンスタイン,音楽,71,ベルリンの壁崩壊記念コンサート指揮,1989
朝比奈隆,音楽,60,大阪フィル音楽監督として黄金期,1968
朝比奈隆,音楽,93,最後のブルックナー交響曲第8番,2001
岩城宏之,音楽,38,NHK交響楽団正指揮者就任,1970
岩城宏之,音楽,73,大晦日ベートーヴェン交響曲全曲演奏,2006
大野和士,音楽,47,モネ劇場音楽監督就任,2008
大野和士,音楽,62,東京都交響楽団音楽監督,2023
井上道義,音楽,40,京都市交響楽団音楽監督,1986
井上道義,音楽,77,引退コンサート,2024
山田和樹,音楽,32,ブザンソン国際指揮者コンクール優勝,2009
山田和樹,音楽,45,バーミンガム市交響楽団首席指揮者,2023
クライバー,音楽,45,バイエルン国立歌劇場「ばらの騎士」,1979
クライバー,音楽,54,ウィーン・フィル・ニューイヤーコンサート,1989
アバド,音楽,56,ベルリン・フィル首席指揮者就任,1989
アバド,音楽,70,ルツェルン祝祭管弦楽団創設,2003
ラトル,音楽,44,ベルリン・フィル首席指揮者就任,1999
ラトル,音楽,68,バイエルン放送交響楽団首席指揮者,2023
ムーティ,音楽,39,フィラデルフィア管弦楽団音楽監督,1980
ムーティ,音楽,69,シカゴ交響楽団音楽監督就任,2010
ゲルギエフ,音楽,35,マリインスキー劇場芸術監督就任,1988
ティーレマン,音楽,46,バイロイト音楽祭デビュー,2000
ティーレマン,音楽,65,ベルリン国立歌劇場音楽総監督,2024
ネルソンス,音楽,35,ボストン交響楽団音楽監督就任,2014
ドゥダメル,音楽,26,ロサンゼルス・フィル音楽監督就任,2009
アシュケナージ,音楽,27,ショパン国際ピアノコンクール第2位,1962
アシュケナージ,音楽,50,ロイヤル・フィルハーモニー管弦楽団音楽監督,1987
アシュケナージ,音楽,70,指揮活動からの引退発表,2007
ジョン・ケージ,音楽,40,4分33秒初演,1952
ジョン・ケージ,音楽,55,ミュージサーカス創作,1967
ジョン・ケージ,音楽,80,最後の大規模作品発表,1992
武満徹,音楽,30,ノヴェンバー・ステップス作曲,1967
武満徹,音楽,60,映画音楽の集大成,1990
坂本龍一,音楽,35,ラストエンペラーでアカデミー賞,1988
坂本龍一,音楽,60,がん闘病後の復帰コンサート,2012
久石譲,音楽,33,風の谷のナウシカ音楽担当,1984
久石譲,音楽,60,ジブリ映画音楽の集大成,2013
リスト,音楽,20,ヨーロッパ演奏旅行で熱狂的人気,1831
リスト,音楽,36,ヴァイマール宮廷楽長就任,1848
リスト,音楽,54,カトリック僧籍取得,1865
リスト,音楽,75,最後の演奏旅行,1886
ショパン,音楽,21,パリデビュー,1831
ショパン,音楽,27,ジョルジュ・サンドとの出会い,1837
ショパン,音楽,38,最後の公開演奏,1848
ブラームス,音楽,20,シューマン夫妻との出会い,1853
ブラームス,音楽,43,交響曲第1番完成,1876
ブラームス,音楽,63,クララ・シューマンの死,1896
