episode_id,person_id,person_name,age,事実密度,composite_score
EP-000695,PF5A4BF7,竈門炭治郎,15.0,1.0,529.3
EP-000697,P0BD29C1,山田進,67.0,2.0,541.2
EP-000701,P6A3BCD0,マービン・ミンスキー,20.0,2.89,570.7
EP-000705,P8EE140E,マリー・キュリー,30.0,2.12,518.5
EP-000706,P6C10B66,マリオ,30.0,2.89,589.6
EP-000719,P3FE3113,モンキー・D・ルフィ,17.0,2.01,608.8
EP-000731,PA92337E,リリー・フランキー,26.0,2.7,495.1
EP-000736,P3A577E2,ラリー・ウォール,20.0,3.19,553.6
EP-000738,P979DC6F,ヨシュア・ベンジオ,20.0,3.33,598.0
EP-000746,P623A101,ノーバート・ウィーナー,25.0,3.19,529.5
EP-000753,P91FC66A,ナミ,10.0,1.78,609.2
EP-000754,PE255F82,ドラえもん,10.0,2.2,566.5
EP-000756,P3C79CC1,トニートニー・チョッパー,0.0,2.07,565.8
EP-000762,PCF3A751,パウロ・フレイレ,42.0,2.67,548.6
EP-000770,PAC3E10B,フグ田サザエ,23.0,1.39,574.9
EP-000772,P09DCFB0,ピーター・バラカン,16.0,2.8,536.4
EP-000773,P023077B,ピョートル大帝,20.0,3.0,517.9
EP-000781,P2866051,パパイヤ鈴木,35.0,2.83,611.0
EP-000782,P12FA00F,ヘレン・ケラー,22.0,2.01,534.3
EP-000783,PC0B3CC6,ロロノア・ゾロ,19.0,2.16,489.5
EP-000792,PFC18BEE,中村美紀,62.0,1.0,493.5
EP-000794,P2154B34,中村獅童,33.0,2.89,530.0
EP-000796,P9CBB34F,中村明彦,60.0,2.87,642.6
EP-000797,PD82AB6D,中村天風,58.0,1.0,574.6
EP-000798,P6F169CA,中村哲,31.0,3.46,529.3
EP-000801,PA718FB5,中村勘三郎,72.0,3.46,547.5
EP-000807,P2382BDB,井山裕太,15.0,2.34,531.6
EP-000810,PC1591D7,井上真央,22.0,1.0,499.5
EP-000812,PE44DA09,井上洋介,61.0,1.58,497.3
EP-000813,P38ECA1C,井上朋子,68.0,1.5,485.2
EP-000818,P5D3244A,五木寛之,45.0,2.2,573.4
EP-000821,PC4E9A04,久保裕也,29.0,2.07,581.0
EP-000822,PB0C17DE,久保田利伸,15.0,3.3,506.9
EP-000823,PA718FB5,中村勘三郎,64.0,1.0,563.5
EP-000825,PD266F5A,中村修平,51.0,2.96,571.7
EP-000834,P82BAD5C,三谷幸喜,47.0,2.9,525.6
EP-000835,P82BAD5C,三谷幸喜,52.0,3.2,515.1
EP-000836,PB6F63CA,三田佳子,25.0,3.18,541.5
EP-000838,PF2E3626,三浦知良,26.0,3.39,541.9
EP-000840,P3D9F8EF,三木谷浩史,32.0,3.19,548.9
EP-000845,PACB6535,上田慎一郎,21.0,2.01,527.1
EP-000848,P83A4922,上野千鶴子,18.0,1.13,494.6
EP-000855,P458A67A,中村修也,38.0,1.57,575.1
EP-000858,P3C71E02,中村七之助,39.0,1.0,515.0
EP-000859,P4E0FE3B,中曽根康弘,53.0,3.15,487.2
EP-000863,PE4F5342,中島義道,66.0,3.15,557.7
EP-000864,PAACE7F7,中島洋,42.0,1.3,589.3
EP-000867,P83A4922,上野千鶴子,14.0,3.34,488.7
EP-000869,PB19496D,山田貴司,65.0,1.01,563.9
EP-000875,P1281647,はたけカカシ,5.0,1.96,567.6
EP-000885,P57DFFA3,うずまきナルト,12.0,2.34,499.0
EP-000886,P8B04BC4,いとうせいこう,44.0,2.5,527.0
EP-000888,PB650EE1,あいみょん,23.0,2.34,500.5
EP-000890,P01F35F4,そらる,30.0,1.9,489.8
EP-000892,PD28B9A4,アイザック・ニュートン,60.0,2.89,510.6
EP-000895,P4CD39ED,アレキサンダー・マックイーン,20.0,3.19,518.2
EP-000896,P04E0675,アルベルト・アインシュタイン,42.0,3.33,516.9
EP-000897,PF376125,アルフレッド・ノーベル,30.0,3.19,583.0
EP-000899,P29D7CFD,アルフレッド・クルップ,21.0,2.67,617.2
EP-000922,PF067F8E,常田大希,28.0,3.0,526.6
EP-000928,P27E4A44,バッドホップ,25.0,3.19,514.3
EP-000954,P42AFE6F,ジャン・ピアジェ,25.0,2.67,513.4
EP-000959,P8BC14C4,ジェーン・グドール,20.0,3.19,589.3
EP-000966,P95F5A3B,シドニー・スウィーニー,25.0,3.03,602.5
EP-000969,PBB4743C,サンジ,13.0,2.25,535.5
EP-000971,PE150E53,ジョン・デューイ,37.0,1.57,575.5
EP-000977,P483F2B3,ダイアン・フォッシー,20.0,2.12,519.0
EP-000981,P5822AC5,セーラームーン（月野うさぎ）,14.0,2.8,598.0
EP-000992,PF57640C,サトシ,6.0,2.16,560.5
EP-001011,PEA5126F,カール・マルクス,20.0,3.12,588.9
EP-001014,P3B0F758,サザエさん,24.0,1.46,485.7
EP-001015,PFB8BC63,サイ・ヤング,20.0,3.45,532.5
EP-001019,P6DFDAFA,コレコレ,28.0,3.0,507.2
EP-001026,P5E9B9C0,クロード・シャノン,20.0,3.19,551.9
EP-001031,PD81D5F8,ガンダム（RX-78-2）,15.0,3.33,617.4
EP-001033,PF2BB9B3,井村裕夫,63.0,2.3,540.1
EP-001037,P0581C31,安藤美姫,49.0,2.4,487.8
EP-001043,P6F3D783,室伏重信,66.0,2.96,541.2
EP-001044,PF6C5EE4,安藤忠雄,57.0,1.3,602.1
EP-001045,P8C79865,安宅和人,48.0,2.67,546.2
EP-001064,P41C1EB0,宮崎義彦,67.0,1.6,581.4
EP-001068,P98BF9B1,宮本武蔵,64.0,1.39,536.2
EP-001069,P7995126,宮本慎也,54.0,1.0,519.0
EP-001070,PA49D682,宮本亜門,19.0,2.46,541.9
EP-001071,PA49D682,宮本亜門,51.0,1.8,488.9
EP-001072,P024D42C,宮本えりな,14.0,3.0,486.2
EP-001076,P7E0F1FE,孫悟飯,4.0,1.0,529.8
EP-001077,P6009D71,孫悟空,18.0,2.67,572.4
EP-001078,PC2F678D,大谷亮平,36.0,1.49,543.0
EP-001080,P4154964,大西卓司,59.0,2.58,594.4
EP-001092,P4B14B67,大宅壮一,57.0,1.68,513.6
EP-001093,PED908BB,大塚愛,18.0,1.2,488.3
EP-001101,P7AF8CAC,奥田民生,41.0,2.2,505.8
EP-001102,P0B61423,奥村愛,16.0,1.7,526.6
EP-001105,P41ABEE1,奈良美智,50.0,1.0,514.1
EP-001110,P4E95933,大隈重信,62.0,2.38,510.0
EP-001111,PEBAC6AF,大隈良嶺,27.0,1.46,528.5
EP-001113,PD854FC4,大隅良典,74.0,3.44,625.8
EP-001116,P7CA92E5,大野勝彦,68.0,2.1,520.9
EP-001119,P4D2505E,小室哲哉,49.0,1.0,522.0
EP-001120,P9342FDA,小山田圭吾,67.0,1.58,510.4
EP-001123,P12B3C89,山崎豊子,60.0,1.33,490.5
EP-001135,P29D0C81,山中教授,75.0,3.23,509.9
EP-001138,P9602A59,山中伸弥,34.0,3.1,571.4
EP-001145,P6EAD8F8,山田穣,29.0,2.23,564.2
EP-001149,P0D3C801,山田孝之,27.0,1.59,542.1
EP-001155,PA4DD9CB,山田信夫,68.0,2.46,548.1
EP-001158,P8C3676F,山村浩二,55.0,2.12,499.2
EP-001161,PCD124CC,山本義彦,68.0,2.1,531.5
EP-001162,P4F2A214,山下達郎,28.0,3.33,532.0
EP-001164,P7F16416,山下清,60.0,1.0,517.8
EP-001169,P706C969,小林正明,64.0,3.34,549.3
EP-001173,P9EAA615,小林一三,20.0,2.67,544.6
EP-001175,P67BBCC8,小林カツ代,68.0,1.0,519.8
EP-001178,P413820A,小川直樹,59.0,3.48,562.6
EP-001180,PDDF26DB,小川信行,56.0,1.2,493.9
EP-001182,PB8C371B,小島秀夫,21.0,3.33,576.6
EP-001199,P32177CA,小泉純一郎,52.0,2.25,560.4
EP-001202,P70575F6,小池百合子,64.0,2.3,543.8
EP-001206,PD1F7F98,山下洋輔,69.0,1.0,480.6
EP-001208,PDB7C452,大塚久美子,48.0,1.0,478.9
EP-001210,P3B85A1D,出口治明,32.0,2.67,494.9
EP-001211,P3B85A1D,出口治明,14.0,1.6,505.0
EP-001214,P2B5E0FE,内藤大助,33.0,2.7,516.9
EP-001218,P6CF416F,出川哲朗,34.0,2.2,560.1
EP-001221,P4E407FF,佐野稔,61.0,1.5,507.2
EP-001223,PDEE045B,佐藤輝明,49.0,2.7,611.2
EP-001227,PFF437F9,入江陽,29.0,1.79,519.4
EP-001232,P2328FDD,北原義昭,62.0,2.01,500.8
EP-001234,P90F36A2,加藤純一,32.0,2.56,490.7
EP-001238,PF421EDF,加藤一二三,14.0,1.57,509.3
EP-001241,PC718BA0,前田敦子,21.0,2.01,480.1
EP-001242,P85EB614,前田建設工業の前田又兵衛,61.0,3.23,582.8
EP-001244,PD819C09,前澤友作,36.0,3.39,491.7
EP-001250,PD0BA4CF,伊藤若冲,15.0,1.2,525.0
EP-001253,P28851A9,伊藤大海,32.0,3.2,488.5
EP-001254,P5BB7FF7,伊藤博文,55.0,2.12,595.7
EP-001255,P911C161,伊藤雅範,52.0,2.75,504.0
EP-001256,P5BB7FF7,伊藤博文,44.0,1.8,487.7
EP-001257,P5BB7FF7,伊藤博文,56.0,2.21,488.2
EP-001260,P4E441DD,伊東豊雄,71.0,3.12,530.2
EP-001261,P06BF94A,今村雅弘,17.0,1.0,481.9
EP-001268,P1CF29D3,佐藤忠志,75.0,1.02,484.6
EP-001270,PE0D5753,佐藤可士和,46.0,3.03,584.9
EP-001272,PE0D5753,佐藤可士和,21.0,3.1,514.2
EP-001273,PF9EFE3B,佐藤勝彦,64.0,2.8,487.8
EP-001274,PF9EFE3B,佐藤勝彦,63.0,1.3,578.4
EP-001275,P40C8A48,佐藤光男,67.0,1.0,528.3
EP-001279,P3697AB1,佐々木常夫,52.0,3.25,564.5
EP-001281,PE360274,佐々木則夫,44.0,2.2,542.9
EP-001290,P374F578,坂本九,21.0,1.96,499.6
EP-001296,P1B83B2F,向井千秋,70.0,1.46,387.9
EP-001308,P23C26A4,坂本龍馬,30.0,1.33,489.6
EP-001309,P23C26A4,坂本龍馬,67.0,1.0,399.5
EP-001329,PE5F69C4,吉田正,75.0,2.68,486.6
EP-001332,P47372D9,原晋,65.0,3.45,566.4
EP-001336,P5578985,南部陽一郎,87.0,3.45,583.9
EP-001343,P55FFF50,北野日奈子,41.0,1.0,483.2
EP-001345,P02FA518,北里柴三郎,37.0,3.29,503.7
EP-001355,PFF72957,吉田兼好,66.0,1.0,389.0
EP-001360,PCD78A83,古川利明,64.0,1.33,381.3
EP-001387,P7D291FA,角幡唯介,51.0,2.71,506.9
EP-001410,P0472748,柳宗悦,68.0,3.04,490.5
EP-001411,P98D6D23,村野藤吾,32.0,2.38,600.1
EP-001418,PB91C052,森有礼,51.0,2.16,501.2
EP-001423,PEF6AF3A,斎藤喜博,40.0,2.71,521.5
EP-001426,P172A287,林竹二,35.0,3.4,484.2
EP-001427,P91D56E5,齋藤孝,57.0,2.23,510.4
EP-001450,P564BAB4,原節子,70.0,3.04,490.9
EP-001451,P07A779C,田中絹代,24.0,3.4,494.9
EP-001452,P257E099,松たか子,22.0,3.3,489.3
EP-001457,PECD03AB,太宰治,42.0,3.04,521.7
EP-001481,PE2C2583,種田山頭火,40.0,2.09,611.3
EP-001482,P8BF77B7,中原中也,31.0,3.04,499.9
EP-001483,PF959A20,萩原朔太郎,46.0,1.9,398.5
EP-001484,P82F7F58,高村光太郎,50.0,2.27,521.3
EP-001485,PEA80B88,北原白秋,26.0,1.71,529.7
EP-001486,P3A763A2,野口英世,25.0,3.4,521.7
EP-001489,P072AD0B,志賀潔,48.0,3.3,493.7
EP-001492,PA922C37,高木兼寛,40.0,2.79,547.4
EP-001498,PCFA4BEC,日野原重明,33.0,3.48,500.9
EP-001499,P1313787,吉岡弥生,22.0,3.0,519.4
EP-001500,PABC7B02,荻野吟子,24.0,1.33,542.0
EP-001508,P559E659,平山雄,22.0,2.27,515.7
EP-001509,P1EFDEAA,蟹江ぎん,40.0,2.68,373.1
EP-001510,PBFB86A5,ルパン三世,26.0,1.79,518.2
EP-001513,P57DFFA3,うずまきナルト,32.0,1.13,504.3
EP-001514,P0159D47,うちはサスケ,42.0,1.0,487.3
EP-001516,P91FC66A,ナミ,25.0,1.4,518.4
EP-001517,PE2DD077,セフィロス,29.0,2.75,522.0
EP-001518,P583D634,ケンシロウ,27.0,1.46,493.3
EP-001522,PC72B176,二葉亭四迷,53.0,3.08,526.8
EP-001523,P03FBCA2,幸田露伴,43.0,2.27,492.0
EP-001525,P5D9D6AE,吉益東洞,26.0,1.77,536.4
EP-001530,PE6FD819,親鸞,69.0,1.33,503.3
EP-001536,P8A02144,一休宗純,21.0,1.0,479.7
EP-001541,P14AD640,白瀬矗,57.0,3.0,551.4
EP-001545,P63F8148,高田屋嘉兵衛,31.0,1.33,395.1
EP-001555,P93246E9,松浦武四郎,44.0,1.77,532.4
EP-001556,P5344798,大谷光瑞,45.0,3.4,522.1
EP-001579,P7761DC1,小津安二郎,49.0,3.4,535.9
EP-001580,PB818969,溝口健二,47.0,2.8,514.6
EP-001595,PE23CD3F,深作欣二,22.0,3.4,522.9
EP-001596,P29B3AB0,福沢諭吉,23.0,2.45,523.9
EP-001599,P9474218,内村鑑三,22.0,2.53,589.0
EP-001607,PB1B157C,渋沢栄一,53.0,2.46,392.8
EP-001679,P1E93EED,横山大観,56.0,2.9,555.7
EP-001709,PD1403E0,御木本幸吉,25.0,3.1,591.9
EP-001715,P77AEA02,稲盛和夫,49.0,2.27,504.4
EP-001741,PAC72636,本多光太郎,20.0,2.6,500.6
EP-001744,P37D6167,茅誠司,49.0,1.9,490.9
EP-001747,P3A763A2,野口英世,21.0,1.46,597.4
EP-001751,PF51199C,黒田チカ,51.0,3.4,478.7
EP-001752,PBFBAFB2,坂田昌一,30.0,3.0,541.3
EP-001755,P1DB6CC2,木戸孝允,33.0,1.33,490.9
EP-001756,P69F3D9C,勝海舟,60.0,1.33,494.1
EP-001762,PAFB5B2C,夏目漱石,54.0,2.27,505.5
EP-001764,PAF4452A,岩崎弥太郎,25.0,1.33,489.6
EP-001766,P575B45B,陸奥宗光,37.0,2.5,589.6
EP-001782,PC302AD8,伊能忠敬,50.0,1.0,542.5
EP-001787,P6C106C9,与謝蕪村,36.0,1.13,389.4
EP-001788,P72A9398,小林一茶,21.0,1.0,482.8
EP-001790,P2593CE3,上田秋成,68.0,1.0,390.6
EP-001793,P8A3DD10,菱川師宣,29.0,2.1,396.9
EP-001794,P539BE73,良寛,40.0,1.0,378.3
EP-001804,PCC99ECF,花柳寿楽,54.0,1.0,372.0
EP-001847,PBE93407,赤塚不二夫,60.0,3.08,595.0
EP-001875,PAC33733,ベートーヴェン,18.0,2.1,503.8
EP-001876,PF44A276,ショパン,15.0,2.45,570.3
EP-001878,P72ADDD0,米津玄師,18.0,2.45,479.9
EP-001880,PC40E5B3,YOASOBI（幾田りら）,15.0,1.79,478.7
EP-001881,PEC07F35,マーク・ザッカーバーグ,15.0,3.19,549.0
EP-001883,PABED904,スティーブ・ジョブズ,18.0,1.77,551.2
EP-001885,P02B77F9,堀江貴文,14.0,1.9,507.1
EP-001894,PEF7C51E,ヨシキ,15.0,3.0,571.3
EP-001896,PAFB5B2C,夏目漱石,14.0,1.0,480.3
EP-001899,P1D59005,川端康成,17.0,2.68,525.8
