episode_id,person_id,person_name,text_name,mismatch_type
EP-251130038,PDE9442F,ウィリアム・シェイクスピア,堀越耕平,name_content_mismatch
EP-251130054,P69630F4,森田芳光,橘玲,name_content_mismatch
EP-251130006,PADA1372,アルバート・アインシュタイン,高野長英,name_content_mismatch
EP-251130006,P4646874,牧野富太郎,高野長英,name_content_mismatch
EP-251130006,PE3C1C6F,寺田寅彦,高野長英,name_content_mismatch
EP-251130006,P07A2369,西田幾多郎,高野長英,name_content_mismatch
EP-251130006,P84A70DE,湯浅年子,高野長英,name_content_mismatch
EP-251130006,P9A88DFD,中谷宇吉郎,高野長英,name_content_mismatch
EP-251130006,PB3FDE26,イサック・ニュートン,高野長英,name_content_mismatch
EP-251130006,PE17624B,岡潔,高野長英,name_content_mismatch
EP-251130006,P282F99D,ワトソン・クリック,高野長英,name_content_mismatch
EP-251130006,PA559CEA,木村資生,高野長英,name_content_mismatch
EP-251130006,P0BD07F7,ライナス・ポーリング,高野長英,name_content_mismatch
EP-251130006,P813ED66,朝比奈貞一,高野長英,name_content_mismatch
EP-251130006,PBC3C340,ジョン・フォン・ノイマン,高野長英,name_content_mismatch
EP-251130006,PC082694,黒田玲子,高野長英,name_content_mismatch
EP-251130006,P5979571,佐藤幹夫,高野長英,name_content_mismatch
EP-251130006,P920164A,ジェームズ・ワトソン,高野長英,name_content_mismatch
EP-251130006,P819FD9B,竹内均,高野長英,name_content_mismatch
EP-251130006,PF231F39,バーバラ・マクリントック,高野長英,name_content_mismatch
EP-251130006,PE97748B,今西錦司,高野長英,name_content_mismatch
EP-251130006,P961217D,ロザリンド・フランクリン,高野長英,name_content_mismatch
EP-251130006,P3441571,猪瀬博,高野長英,name_content_mismatch
EP-251130006,P8702A25,小谷正雄,高野長英,name_content_mismatch
EP-251130006,P4DFC317,渡部昇一,高野長英,name_content_mismatch
EP-251130018,PF12D1D2,J.K.リベット,J.K.ローリング,name_content_mismatch
EP-251130029,PA1898D6,スタンリー・キューブリック,Stanley Kubrick,name_content_mismatch
EP-251130062,PEB231FA,忌野清志郎,トム・ウェイツ,name_content_mismatch
EP-251130084,PF0BB9C6,マリー・アントワネット,小野妹子,name_content_mismatch
EP-251130095,P3026EC2,諌山創,井上円了,name_content_mismatch
EP-251130096,P62A1D54,天野喜孝,ダ・ヴィンチ,name_content_mismatch
EP-251130097,PE222762,ベルナルド・サンダース,ベルナード・サンダース,name_content_mismatch
EP-251130102,P5D6106E,サザンオールスターズ桑田佳祐以外メンバー,サザンオールスターズの関口和之,name_content_mismatch
EP-251130131,P940F8D1,谷口吉郎,ガートルード・スタイン,name_content_mismatch
EP-251130131,PAEB5342,津川雅寿,津川雅彦,name_content_mismatch
EP-251130132,P45C2F04,ジム・ベゾス,ジェフ・ベゾス,name_content_mismatch
EP-251130134,P59B6114,鳥井道夫,鳥井信治郎（道夫,name_content_mismatch
EP-251130136,PCC2C1FF,藤城清治,藤城清一,name_content_mismatch
EP-251130138,PAA30275,荻野目洋子,荻野野目洋子,name_content_mismatch
EP-251130144,PD385FA8,ボブ・マーリー,ボルヘス,name_content_mismatch
EP-251130144,PF4A52AA,白鳳,白鵬,name_content_mismatch
EP-251130148,P1481792,ペドロ・アルモドバル,Pedro Almodóvar,name_content_mismatch
EP-251130149,P0C1B121,水野良樹,いきもの,name_content_mismatch
EP-251130157,PF40A274,イザベラ・バード,志賀重昂,name_content_mismatch
EP-251130157,P9E53202,西岡京治,志賀重昂,name_content_mismatch
EP-251130157,PBE935C1,ジョン・ウェズリー・パウエル,志賀重昂,name_content_mismatch
EP-251130157,P231B0C9,デヴィッド・アッテンボロー卿,志賀重昂,name_content_mismatch
EP-251130157,PC1BAB1C,アルフレッド・ウォーレス,志賀重昂,name_content_mismatch
EP-251130157,P766140C,蝦夷地探検家松田伝十郎,志賀重昂,name_content_mismatch
EP-251130157,P18A1019,ロバート・オハラ・バーク,志賀重昂,name_content_mismatch
EP-251130157,PAC660AE,横山祐太郎,志賀重昂,name_content_mismatch
EP-251130157,P82B797B,リチャード・バートン,志賀重昂,name_content_mismatch
EP-251130157,P2BD2ECF,菅江真澄,志賀重昂,name_content_mismatch
EP-251130157,P6C45C42,ジョン・スピーク,志賀重昂,name_content_mismatch
EP-251130157,PF76162A,アルバート・シュバイツァー,志賀重昂,name_content_mismatch
EP-251130157,P2FADEBA,ヘンリー・モートン・スタンリー,志賀重昂,name_content_mismatch
EP-251130157,P922415C,古川古松軒,志賀重昂,name_content_mismatch
EP-251130157,P854D43F,ランドルフ・ファインズ,志賀重昂,name_content_mismatch
EP-251130157,P51C32CA,青木大輔,志賀重昂,name_content_mismatch
EP-251130157,PBF8FD73,アニー・スミス・ペック,志賀重昂,name_content_mismatch
EP-251130157,P42426FC,菊地大麓,志賀重昂,name_content_mismatch
EP-251130157,P711AE6E,ジョセフ・ロック,志賀重昂,name_content_mismatch
EP-251130157,P717620F,大谷光瑞師,志賀重昂,name_content_mismatch
EP-251130157,P46D9A3E,ウィルフレッド・テシガー,志賀重昂,name_content_mismatch
EP-251130157,P34639DB,長沼雄,志賀重昂,name_content_mismatch
EP-251130157,PAF8C3A0,エドワード・ウィンパー,志賀重昂,name_content_mismatch
EP-251130006,P25D7434,華佗,高野長英,name_content_mismatch
EP-251130006,PCF8786B,橋本左内,高野長英,name_content_mismatch
EP-251130006,P2C64484,佐久間象山,高野長英,name_content_mismatch
EP-251130006,PD0EFEFE,アルキメデス,高野長英,name_content_mismatch
EP-251130006,P15A4170,アレクサンドロス大王の軍医,高野長英,name_content_mismatch
EP-251130006,PCBAFBBC,ピタゴラス,高野長英,name_content_mismatch
EP-251130006,P744B0CA,エラトステネス,高野長英,name_content_mismatch
EP-251130006,PAD74694,プトレマイオス,高野長英,name_content_mismatch
EP-251130006,P2AB5806,イブン・シーナー,高野長英,name_content_mismatch
EP-251130006,P2FFE469,ユークリッド,高野長英,name_content_mismatch
EP-251130006,P060331F,ジョン・ハンター,高野長英,name_content_mismatch
EP-251130006,P97073B5,アンドレアス・ヴェサリウス,高野長英,name_content_mismatch
EP-251130006,PE82FA9F,ロバート・フック,高野長英,name_content_mismatch
EP-251130006,P2344AB9,ウィリアム・モートン,高野長英,name_content_mismatch
EP-251130010,PDACE09B,ファーストリテイリング創業者柳井等,ファーストリテイリング創業者柳井正,name_content_mismatch
EP-251130019,P87DA276,都はるみ,都,name_content_mismatch
EP-251130028,P4327AFA,チム・バーナーズ=リー,ティム・バーナーズ=リー,name_content_mismatch
EP-251130029,P3FBF46E,黒川温,黒川紀章,name_content_mismatch
EP-251130029,P0FF51E0,アレクサンダー・ボロディン,アレクサンドル・ボロディン,name_content_mismatch
EP-251130032,P28DDBA6,オスカー・アイザック,Oscar Isaac,name_content_mismatch
EP-251130033,P6B8FC27,徳川尊康,徳川慶喜,name_content_mismatch
EP-251130036,P9F14BD8,ホリエモン,世耕弘成,name_content_mismatch
EP-251130036,P39CF97B,エリザベス・ウォーレン,世耕弘成,name_content_mismatch
EP-251130036,PCEEAB7A,アレクサンドリア・オカシオ=コルテス,世耕弘成,name_content_mismatch
EP-251130036,P123ABD7,カマラ・ハリス,世耕弘成,name_content_mismatch
EP-251130036,P4989CD7,ミット・ロムニー,世耕弘成,name_content_mismatch
EP-251130036,PC020D39,テッド・クルーズ,世耕弘成,name_content_mismatch
EP-251130036,P398A565,マイク・ペンス,世耕弘成,name_content_mismatch
EP-251130036,P3714111,ロン・デサンティス,世耕弘成,name_content_mismatch
EP-251130036,P8C0E4D0,ミシェル・オバマ,世耕弘成,name_content_mismatch
EP-251130036,P10D93D9,田中裕介,世耕弘成,name_content_mismatch
EP-251130036,P0318962,加藤勝信,世耕弘成,name_content_mismatch
EP-251130036,P79CADE8,西田昌司,世耕弘成,name_content_mismatch
EP-251130036,PDB1EAC7,茂木敏充,世耕弘成,name_content_mismatch
EP-251130036,P8A39FDE,松野博一,世耕弘成,name_content_mismatch
EP-251130036,PBB8AF54,萩生田光一,世耕弘成,name_content_mismatch
EP-251130036,P79B8A0F,高市早苗,世耕弘成,name_content_mismatch
EP-251130036,P95FCF4D,稲田朋美,世耕弘成,name_content_mismatch
EP-251130036,PA7D056F,塩崎恭久,世耕弘成,name_content_mismatch
EP-251130036,P9E1F124,岸田文雄夫人,世耕弘成,name_content_mismatch
EP-251130036,P0B2BE0F,野田毅,世耕弘成,name_content_mismatch
EP-251130036,PAAFFD00,田村憲久,世耕弘成,name_content_mismatch
EP-251130036,P32BA0F0,アレクサンドル・ルカシェンコ,世耕弘成,name_content_mismatch
EP-251130036,P03F1EBE,教皇フランシスコ,世耕弘成,name_content_mismatch
EP-251130036,P4E268D9,キング・チャールズ3世,世耕弘成,name_content_mismatch
EP-251130036,P3D2178E,ヤシル・アラファト,世耕弘成,name_content_mismatch
EP-251130036,P8103ECF,コリン・パウエル,世耕弘成,name_content_mismatch
EP-251130036,P86660B1,ハンス・ディートリヒ・ゲンシャー,世耕弘成,name_content_mismatch
EP-251130036,PD791BC2,レフ・ワレサ,世耕弘成,name_content_mismatch
EP-251130036,P98B62C4,ヴァーツラフ・ハヴェル,世耕弘成,name_content_mismatch
EP-251130038,P48AB516,René Goscinny,René Gosciny,name_content_mismatch
EP-251130042,P9735E18,間宮海峡発見者・間宮林蔵の弟子,間宮林蔵の弟子・佐藤重蔵,name_content_mismatch
EP-251130043,P3286C8B,千原兄弟・千原浩史,ローラ・イングラハム,name_content_mismatch
EP-251130048,P41C72A0,長澤正美,長澤まさみ,name_content_mismatch
EP-251130048,P5FA88AD,クリス・マーティン,コールドプレイ,name_content_mismatch
EP-251130049,PDBBF8BA,小渕健太郎,コブクロ,name_content_mismatch
EP-251130055,P156FA15,朝倉義景,松永久秀,name_content_mismatch
EP-251130056,PF3C11C9,マルガレーテ・テッチャー,マーガレット・サッチャー,name_content_mismatch
EP-251130057,P87EC325,ケイティ・レデッキー,カイル・リッチー,name_content_mismatch
EP-251130073,P342017F,鬼滅の刃・吾峠呼世晴,ティツィアーノ,name_content_mismatch
EP-251130073,PD1AE5E9,寺田克也,ティツィアーノ,name_content_mismatch
EP-251130073,PA8878B4,一澤信三郎,ティツィアーノ,name_content_mismatch
EP-251130073,P828BBDB,左卜全,ティツィアーノ,name_content_mismatch
EP-251130073,P5355BCA,萩尾望都,ティツィアーノ,name_content_mismatch
EP-251130073,PD013771,三國連太郎,ティツィアーノ,name_content_mismatch
EP-251130073,PD873DC0,ローリング・ストーンズ・ミック・ジャガー,ティツィアーノ,name_content_mismatch
EP-251130073,P20C429C,コロー,ティツィアーノ,name_content_mismatch
EP-251130073,P92DF315,イサム・ノグチ,ティツィアーノ,name_content_mismatch
EP-251130073,P7CE9F6B,桂文楽,ティツィアーノ,name_content_mismatch
EP-251130073,P77CEF9E,野村万蔵,ティツィアーノ,name_content_mismatch
EP-251130073,PF49C97F,エルンスト,ティツィアーノ,name_content_mismatch
EP-251130073,P293B373,坂東巳之助,ティツィアーノ,name_content_mismatch
EP-251130073,P56B6904,エゴン・シーレ,ティツィアーノ,name_content_mismatch
EP-251130073,P504D96B,デューラー,ティツィアーノ,name_content_mismatch
EP-251130073,P0BEC9E1,尾上梅幸,ティツィアーノ,name_content_mismatch
EP-251130073,P5D81A35,ジェフ・ウォール,ティツィアーノ,name_content_mismatch
EP-251130073,PB1A6DE4,古今亭菊之丞,ティツィアーノ,name_content_mismatch
EP-251130073,PA85E61E,コンスタブル,ティツィアーノ,name_content_mismatch
EP-251130073,PCAA00F3,中村富十郎,ティツィアーノ,name_content_mismatch
EP-251130073,PD798DA5,エドヴァルド・ムンク,ティツィアーノ,name_content_mismatch
EP-251130073,PEA60888,柳家小さん,ティツィアーノ,name_content_mismatch
EP-251130073,P69DDB48,カラヴァッジオ,ティツィアーノ,name_content_mismatch
EP-251130073,PAEC2CCE,市川新十郎,ティツィアーノ,name_content_mismatch
EP-251130073,P1B3A0FF,ウォーホル,ティツィアーノ,name_content_mismatch
EP-251130073,P906F5C3,春風亭柳橋,ティツィアーノ,name_content_mismatch
EP-251130073,P89BCDF3,ロートレック,ティツィアーノ,name_content_mismatch
EP-251130073,PE2D7006,片岡我當,ティツィアーノ,name_content_mismatch
EP-251130073,PEC747C3,リキテンシュタイン,ティツィアーノ,name_content_mismatch
EP-251130082,P96E7130,留美子高橋,高橋留美子,name_content_mismatch
EP-251130083,P233E74F,アーマ・ハマー,アーミー・ハマー,name_content_mismatch
EP-251130086,P6FA490C,天海祐希,宝塚歌劇団,name_content_mismatch
EP-251130086,P8B8E316,市村正親,劇団四季,name_content_mismatch
EP-251130093,P138899D,沢口靖子,青島幸男,name_content_mismatch
EP-251130098,P7B3CEB9,ガルネク・ヌルマゴメドフ,ハビブ・ヌルマゴメドフ,name_content_mismatch
EP-251201101,PFF4AAE2,江戸川コナン,東出昌大,name_content_mismatch
EP-251201102,PDE1EBEB,キング牧師,曹操,name_content_mismatch
EP-251201103,P9832FE5,アンドリュー・ガーフィールド,田中美里,name_content_mismatch
EP-251201112,P2BA7302,安田講堂,藤原松三郎,name_content_mismatch
EP-251201115,PD23EA75,丸山桂里奈,アダム・ギルクライスト,name_content_mismatch
EP-251201116,PA92C73F,サイモン・ガーファンクル,アート・ガーファンクル,name_content_mismatch
EP-251201118,PDDB5E6B,ダニエル・クレイグ,設楽統,name_content_mismatch
EP-251201118,P5FA88AD,クリス・マーティン,Coldplay,name_content_mismatch
EP-251201121,P2B605EC,シベリウス・タスマン,ジャック・バルマ,name_content_mismatch
EP-251201123,P6042275,ヴェントン・スミス,ヴァーノン・スミス,name_content_mismatch
EP-251201126,P120B06B,ヨーロッパ・コンサート・ホール,二代目中村吉右衛門,name_content_mismatch
EP-251201131,P7E10CF9,ニューマン・ポール,ポール・ニューマン,name_content_mismatch
EP-251201131,PC635D17,オーr・ボビー,ボビー・オア,name_content_mismatch
EP-251201132,P5747A91,石橋貴明,とんねるず,name_content_mismatch
EP-251201132,P5FB1BF3,内村光良,ウッチャンナンチャン,name_content_mismatch
EP-251201135,P58459B6,ヤオ・ミン,福田富昭,name_content_mismatch
EP-251201135,PC6662A1,ビョン・ボルグ,ビョルン・ボルグ,name_content_mismatch
EP-251201137,PFF14DF3,アーティスト,プリンス,name_content_mismatch
EP-251201146,PB0B5265,高野文子,林芙美子,name_content_mismatch
EP-251201151,P6859388,宮沢喜一,佐藤信淵,name_content_mismatch
EP-251201157,P3C04726,上杉鷹山,徳川家定,name_content_mismatch
EP-251201170,PF8BE485,フランクリン・ベンジャミン,村田晃嗣,name_content_mismatch
EP-251201172,P3F4D575,ジョゼフ・ゴードン=レヴィット,チャドウィック・ボーズマン,name_content_mismatch
EP-251201174,P3F629E3,マリオン・ブランド,マーロン・ブランド,name_content_mismatch
EP-251205685,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251205686,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251205780,PFA1A82D,大悟,千鳥,name_content_mismatch
EP-251205791,P8PR4FFQ,シュガー・レイ・レナード,私,name_content_mismatch
EP-251205792,PC8E41D4,カトリーヌ・ドヌーヴ,私,name_content_mismatch
EP-251205793,PA28BBF7,ソフィア・ローレン,私,name_content_mismatch
EP-251205796,PAOUR84F,ジャン=ポール・ベルモンド,私,name_content_mismatch
EP-251205801,PAA4ADEA,シモーヌ・ド・ボーヴォワール,私,name_content_mismatch
EP-251201254,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201266,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201269,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201348,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201360,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201363,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201404,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251201421,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251201442,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251201454,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251201457,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251201536,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201545,PB4A94E1,くりぃむしちゅー,上田晋也,name_content_mismatch
EP-251201548,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201551,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201629,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201641,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201644,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201722,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201734,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201737,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201826,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201829,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201870,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251201887,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251201908,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251201920,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251201923,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251202000,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251202012,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202015,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202101,PB4A94E1,くりぃむしちゅー,上田晋也,name_content_mismatch
EP-251202104,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202107,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202183,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251202195,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202198,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202236,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251202253,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251202274,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251202286,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251202289,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251202374,PB4A94E1,くりぃむしちゅー,有田哲平,name_content_mismatch
EP-251202377,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202380,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202454,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251202463,PB4A94E1,くりぃむしちゅー,上田晋也と有田哲平,name_content_mismatch
EP-251202466,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202469,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202554,PB4A94E1,くりぃむしちゅー,上田晋也さん,name_content_mismatch
EP-251202557,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202560,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202635,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251202644,PB4A94E1,くりぃむしちゅー,上田晋也と有田哲平,name_content_mismatch
EP-251202647,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202650,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202723,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251202735,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251202738,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251202772,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251202789,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251202810,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251202822,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251202825,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251202859,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251202876,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251202897,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251202909,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251202912,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251202946,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251202963,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251202969,P507643A,タカ,ONE OK ROCK,name_content_mismatch
EP-251202984,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251202996,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251202999,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251203030,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251203047,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251203053,P507643A,タカ,ONE OK ROCK,name_content_mismatch
EP-251203068,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251203080,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251203083,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251203128,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251203149,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251203161,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251203164,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251203228,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251203237,PB4A94E1,くりぃむしちゅー,上田晋也と有田哲平,name_content_mismatch
EP-251203240,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251203243,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251203266,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251203283,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251203304,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251203316,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251203319,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251203380,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251203389,PB4A94E1,くりぃむしちゅー,上田晋也と有田哲平,name_content_mismatch
